"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"All India","Linseed","Oct 2016","5785.70"
"All India","Linseed","Nov 2016","5169.87"
"All India","Linseed","Dec 2016","4627.06"
"All India","Linseed","Jan 2017","5069.81"
"All India","Linseed","Feb 2017","5004.23"
"All India","Linseed","Mar 2017","3774.02"
"All India","Linseed","Apr 2017","4088.50"
"All India","Linseed","May 2017","3985.06"
"All India","Linseed","Jun 2017","4069.42"
"All India","Linseed","Jul 2017","4003.04"
"All India","Linseed","Aug 2017","4047.02"
"All India","Linseed","Sep 2017","4164.69"
"All India","Linseed","Oct 2017","3969.96"
"All India","Linseed","Nov 2017","3263.66"
"All India","Linseed","Dec 2017","3088.93"
"All India","Linseed","Jan 2018","4077.41"
"All India","Linseed","Feb 2018","4026.83"
"All India","Linseed","Mar 2018","3689.01"
"All India","Linseed","Apr 2018","3531.55"
"All India","Linseed","May 2018","3633.29"
"All India","Linseed","Jun 2018","3821.06"
"All India","Linseed","Jul 2018","3898.88"
"All India","Linseed","Aug 2018","4044.14"
"All India","Linseed","Sep 2018","3997.40"
"All India","Linseed","Oct 2018","3998.44"
"All India","Linseed","Nov 2018","4076.95"
"All India","Linseed","Dec 2018","4065.32"
"All India","Linseed","Jan 2019","4069.09"
"All India","Linseed","Feb 2019","4107.13"
"All India","Linseed","Mar 2019","4047.71"
"All India","Linseed","Apr 2019","4155.09"
"All India","Linseed","May 2019","4494.72"
"All India","Linseed","Jun 2019","4416.16"
"All India","Linseed","Jul 2019","4460.25"
"All India","Linseed","Aug 2019","4584.95"
"All India","Linseed","Sep 2019","4484.88"
"All India","Linseed","Oct 2019","4587.52"
"All India","Linseed","Nov 2019","5031.24"
"All India","Linseed","Dec 2019","4984.68"
"All India","Linseed","Jan 2020","5116.11"
"All India","Linseed","Feb 2020","4723.33"
"All India","Linseed","Mar 2020","4336.91"
"All India","Linseed","Apr 2020","4508.90"
"All India","Linseed","May 2020","4358.41"
"All India","Linseed","Jun 2020","4370.31"
"All India","Linseed","Jul 2020","4787.86"
"All India","Linseed","Aug 2020","5117.42"
"All India","Linseed","Sep 2020","5065.08"
"All India","Linseed","Oct 2020","5131.59"
"All India","Linseed","Nov 2020","5064.12"
"All India","Linseed","Dec 2020","5093.54"
"All India","Linseed","Jan 2021","5090.88"
"All India","Linseed","Feb 2021","5187.37"
"All India","Linseed","Mar 2021","5690.34"
"All India","Linseed","Apr 2021","6582.46"
"All India","Linseed","May 2021","6289.91"
"All India","Linseed","Jun 2021","6523.34"
"All India","Linseed","Jul 2021","6915.67"
"All India","Linseed","Aug 2021","7286.10"
"All India","Linseed","Sep 2021","7827.35"
"All India","Linseed","Oct 2021","7839.90"
"All India","Linseed","Nov 2021","8819.06"
"All India","Linseed","Dec 2021","8371.63"
"All India","Linseed","Jan 2022","8021.83"
"All India","Linseed","Feb 2022","7756.48"
"All India","Linseed","Mar 2022","7535.40"
"All India","Linseed","Apr 2022","6794.51"
"All India","Linseed","May 2022","6553.93"
"All India","Linseed","Jun 2022","6084.92"
"All India","Linseed","Jul 2022","5714.99"
"All India","Linseed","Aug 2022","6113.74"
"All India","Linseed","Sep 2022","5726.08"
"All India","Linseed","Oct 2022","5871.62"
"All India","Linseed","Nov 2022","6003.53"
"All India","Linseed","Dec 2022","5682.59"
"All India","Linseed","Jan 2023","5478.95"
"All India","Linseed","Feb 2023","5230.87"
"All India","Linseed","Mar 2023","4684.03"
"All India","Linseed","Apr 2023","4251.05"
"All India","Linseed","May 2023","4249.66"
"All India","Linseed","Jun 2023","4038.72"
"All India","Linseed","Jul 2023","4741.63"
"All India","Linseed","Aug 2023","4782.84"
"All India","Linseed","Sep 2023","4906.89"
"All India","Linseed","Oct 2023","5099.48"
"All India","Linseed","Nov 2023","5028.11"
"All India","Linseed","Dec 2023","5073.36"
"All India","Linseed","Jan 2024","4835.16"
"All India","Linseed","Feb 2024","4673.95"
"All India","Linseed","Mar 2024","4875.32"
"All India","Linseed","Apr 2024","4981.83"
"All India","Linseed","May 2024","5713.81"
"All India","Linseed","Jun 2024","5797.67"
"All India","Linseed","Jul 2024","5727.01"
"All India","Linseed","Aug 2024","5996.49"
"All India","Linseed","Sep 2024","5909.86"
"All India","Linseed","Oct 2024","5943.67"
"All India","Linseed","Nov 2024","5878.89"
"All India","Linseed","Dec 2024","5809.75"
"All India","Linseed","Jan 2025","5872.02"
"All India","Linseed","Feb 2025","5800.50"
"All India","Linseed","Mar 2025","5654.01"
"All India","Linseed","Apr 2025","6598.62"
"All India","Linseed","May 2025","6913.92"
"All India","Linseed","Jun 2025","6877.34"
"All India","Linseed","Jul 2025","7081.39"
"All India","Linseed","Aug 2025","7428.51"
"All India","Linseed","Sep 2025","7276.02"
"All India","Linseed","Oct 2025","7254.95"
"All India","Linseed","Nov 2025","8104.03"
"All India","Linseed","Dec 2025","8736.67"
"All India","Linseed","Jan 2026","8050.35"
"All India","Linseed","Feb 2026","7059.93"
"All India","Linseed","Mar 2026","7056.07"
"All India","Linseed","Apr 2026","7844.64"
"All India","Linseed","May 2026","8762.76"
"All India","Linseed","Jun 2026","8681.53"
"All India","Linseed","Jul 2026","8655.02"
"All India","Linseed","Aug 2026","8630.54"
"All India","Linseed","Sep 2026","9247.67"
"All India","Urad","Oct 2016","6324.88"
"All India","Urad","Nov 2016","6260.54"
"All India","Urad","Dec 2016","5693.17"
"All India","Urad","Jan 2017","5501.79"
"All India","Urad","Feb 2017","5117.85"
"All India","Urad","Mar 2017","5367.99"
"All India","Urad","Apr 2017","5761.39"
"All India","Urad","May 2017","5410.53"
"All India","Urad","Jun 2017","4940.76"
"All India","Urad","Jul 2017","4536.25"
"All India","Urad","Aug 2017","4599.33"
"All India","Urad","Sep 2017","4175.18"
"All India","Urad","Oct 2017","3405.44"
"All India","Urad","Nov 2017","2865.45"
"All India","Urad","Dec 2017","2891.53"
"All India","Urad","Jan 2018","3553.17"
"All India","Urad","Feb 2018","3639.58"
"All India","Urad","Mar 2018","3634.35"
"All India","Urad","Apr 2018","3609.64"
"All India","Urad","May 2018","3400.65"
"All India","Urad","Jun 2018","3521.72"
"All India","Urad","Jul 2018","3898.37"
"All India","Urad","Aug 2018","3651.70"
"All India","Urad","Sep 2018","3768.15"
"All India","Urad","Oct 2018","3781.00"
"All India","Urad","Nov 2018","3999.66"
"All India","Urad","Dec 2018","3877.75"
"All India","Urad","Jan 2019","4088.00"
"All India","Urad","Feb 2019","4096.05"
"All India","Urad","Mar 2019","4061.00"
"All India","Urad","Apr 2019","4355.64"
"All India","Urad","May 2019","4463.54"
"All India","Urad","Jun 2019","4413.04"
"All India","Urad","Jul 2019","4310.66"
"All India","Urad","Aug 2019","4500.74"
"All India","Urad","Sep 2019","5126.09"
"All India","Urad","Oct 2019","5162.21"
"All India","Urad","Nov 2019","5702.75"
"All India","Urad","Dec 2019","5227.58"
"All India","Urad","Jan 2020","5717.27"
"All India","Urad","Feb 2020","5800.82"
"All India","Urad","Mar 2020","5566.50"
"All India","Urad","Apr 2020","7488.52"
"All India","Urad","May 2020","6512.22"
"All India","Urad","Jun 2020","5980.61"
"All India","Urad","Jul 2020","5383.39"
"All India","Urad","Aug 2020","5498.11"
"All India","Urad","Sep 2020","5959.08"
"All India","Urad","Oct 2020","6628.35"
"All India","Urad","Nov 2020","6212.66"
"All India","Urad","Dec 2020","6224.96"
"All India","Urad","Jan 2021","6412.46"
"All India","Urad","Feb 2021","6184.04"
"All India","Urad","Mar 2021","6375.06"
"All India","Urad","Apr 2021","6815.11"
"All India","Urad","May 2021","6815.81"
"All India","Urad","Jun 2021","6137.17"
"All India","Urad","Jul 2021","5923.72"
"All India","Urad","Aug 2021","6471.76"
"All India","Urad","Sep 2021","5972.18"
"All India","Urad","Oct 2021","5460.74"
"All India","Urad","Nov 2021","5556.48"
"All India","Urad","Dec 2021","5508.73"
"All India","Urad","Jan 2022","5677.41"
"All India","Urad","Feb 2022","5854.75"
"All India","Urad","Mar 2022","6334.83"
"All India","Urad","Apr 2022","6428.84"
"All India","Urad","May 2022","6285.78"
"All India","Urad","Jun 2022","6210.63"
"All India","Urad","Jul 2022","6312.02"
"All India","Urad","Aug 2022","6602.99"
"All India","Urad","Sep 2022","6153.82"
"All India","Urad","Oct 2022","5747.33"
"All India","Urad","Nov 2022","5945.67"
"All India","Urad","Dec 2022","6174.65"
"All India","Urad","Jan 2023","6610.46"
"All India","Urad","Feb 2023","6764.96"
"All India","Urad","Mar 2023","6861.44"
"All India","Urad","Apr 2023","6948.06"
"All India","Urad","May 2023","7412.12"
"All India","Urad","Jun 2023","7625.71"
"All India","Urad","Jul 2023","7549.17"
"All India","Urad","Aug 2023","7989.89"
"All India","Urad","Sep 2023","7698.64"
"All India","Urad","Oct 2023","7246.94"
