"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"Andhra Pradesh","Bajra","Oct 2016","1600.96"
"Andhra Pradesh","Bajra","Nov 2016","1519.22"
"Andhra Pradesh","Bajra","Dec 2016","1842.28"
"Andhra Pradesh","Bajra","Jan 2017","1866.15"
"Andhra Pradesh","Bajra","Feb 2017","1936.83"
"Andhra Pradesh","Bajra","Mar 2017","1465.81"
"Andhra Pradesh","Bajra","Apr 2017","1399.76"
"Andhra Pradesh","Bajra","May 2017","1411.44"
"Andhra Pradesh","Bajra","Jun 2017","1445.22"
"Andhra Pradesh","Bajra","Jul 2017","1422.47"
"Andhra Pradesh","Bajra","Aug 2017","1429.54"
"Andhra Pradesh","Bajra","Sep 2017","1446.00"
"Andhra Pradesh","Bajra","Oct 2017","1405.97"
"Andhra Pradesh","Bajra","Nov 2017","1394.66"
"Andhra Pradesh","Bajra","Dec 2017","1315.29"
"Andhra Pradesh","Bajra","Jan 2018","1297.54"
"Andhra Pradesh","Bajra","Feb 2018","1220.00"
"Andhra Pradesh","Bajra","Oct 2018","1865.00"
"Andhra Pradesh","Bajra","Nov 2018","2100.00"
"Andhra Pradesh","Bajra","Nov 2024","2142.00"
"Andhra Pradesh","Bajra","Dec 2024","2279.38"
"Andhra Pradesh","Bajra","Jan 2025","2351.33"
"Andhra Pradesh","Bajra","Feb 2025","2207.89"
"Andhra Pradesh","Bajra","Mar 2025","2234.86"
"Andhra Pradesh","Bajra","Apr 2025","2353.78"
"Andhra Pradesh","Bajra","May 2025","1851.54"
"Andhra Pradesh","Bajra","Jun 2025","1871.70"
"Andhra Pradesh","Bajra","Jul 2025","2243.75"
"Andhra Pradesh","Bajra","Aug 2025","2393.63"
"Andhra Pradesh","Bajra","Sep 2025","1813.68"
"Andhra Pradesh","Bajra","Oct 2025","1867.53"
"Andhra Pradesh","Bajra","Nov 2025","2004.70"
"Andhra Pradesh","Bajra","Dec 2025","2106.04"
