"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"Arunachal Pradesh","Potato","May 2017","850.00"
"Arunachal Pradesh","Potato","Jun 2017","1064.43"
"Arunachal Pradesh","Potato","Jul 2017","1110.78"
"Arunachal Pradesh","Potato","Aug 2017","1834.17"
"Arunachal Pradesh","Potato","Sep 2017","1541.96"
"Arunachal Pradesh","Potato","Oct 2017","1588.97"
"Arunachal Pradesh","Potato","Nov 2017","1625.70"
"Arunachal Pradesh","Potato","Dec 2017","2545.53"
"Arunachal Pradesh","Potato","Jan 2018","2140.90"
"Arunachal Pradesh","Potato","Feb 2018","2134.62"
"Arunachal Pradesh","Potato","Mar 2018","1877.51"
"Arunachal Pradesh","Potato","Apr 2018","1917.27"
"Arunachal Pradesh","Potato","May 2018","2589.27"
"Arunachal Pradesh","Potato","Jun 2018","2910.49"
"Arunachal Pradesh","Potato","May 2026","1123.33"
"Arunachal Pradesh","Potato","Jun 2026","1400.00"
"Arunachal Pradesh","Tomato","Jun 2017","3864.81"
"Arunachal Pradesh","Tomato","Jul 2017","5917.17"
"Arunachal Pradesh","Tomato","Aug 2017","7792.76"
"Arunachal Pradesh","Tomato","Sep 2017","7074.71"
"Arunachal Pradesh","Tomato","Oct 2017","5602.00"
"Arunachal Pradesh","Tomato","Nov 2017","6892.98"
"Arunachal Pradesh","Tomato","Dec 2017","6573.97"
"Arunachal Pradesh","Tomato","Jan 2018","4407.35"
"Arunachal Pradesh","Tomato","Feb 2018","2355.95"
"Arunachal Pradesh","Tomato","Mar 2018","2291.28"
"Arunachal Pradesh","Tomato","Apr 2018","2526.03"
"Arunachal Pradesh","Tomato","May 2018","2683.77"
"Arunachal Pradesh","Tomato","Jun 2018","4340.32"
"Arunachal Pradesh","Tomato","Jun 2026","6000.00"
"Arunachal Pradesh","Onion","Jun 2017","1429.94"
"Arunachal Pradesh","Onion","Jul 2017","1449.61"
"Arunachal Pradesh","Onion","Aug 2017","3411.33"
"Arunachal Pradesh","Onion","Sep 2017","3825.03"
"Arunachal Pradesh","Onion","Oct 2017","4345.01"
"Arunachal Pradesh","Onion","Nov 2017","5334.11"
"Arunachal Pradesh","Onion","Dec 2017","5871.65"
"Arunachal Pradesh","Onion","Jan 2018","5561.37"
"Arunachal Pradesh","Onion","Feb 2018","4549.64"
"Arunachal Pradesh","Onion","Mar 2018","3484.52"
"Arunachal Pradesh","Onion","Apr 2018","2557.85"
"Arunachal Pradesh","Onion","May 2018","2566.40"
"Arunachal Pradesh","Onion","Jun 2018","3476.06"
"Arunachal Pradesh","Maize","Apr 2026","2000.00"
"Arunachal Pradesh","Maize","May 2026","1886.66"
"Arunachal Pradesh","Maize","Jun 2026","1277.77"
"Arunachal Pradesh","Maize","Jul 2026","1200.00"
"Arunachal Pradesh","Maize","Aug 2026","1200.00"
