"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"Assam","Wheat","Oct 2016","1974.42"
"Assam","Wheat","Nov 2016","2400.00"
"Assam","Wheat","Dec 2016","2400.00"
"Assam","Wheat","Jan 2017","2400.00"
"Assam","Wheat","Feb 2017","2400.00"
"Assam","Wheat","Mar 2017","2282.18"
"Assam","Wheat","Apr 2017","2282.68"
"Assam","Wheat","May 2017","1467.01"
"Assam","Wheat","Jun 2017","1356.68"
"Assam","Wheat","Jul 2017","1098.09"
"Assam","Wheat","Aug 2017","1085.00"
"Assam","Wheat","Sep 2017","1085.00"
"Assam","Wheat","Oct 2017","1299.79"
"Assam","Wheat","Nov 2017","1706.99"
"Assam","Wheat","Dec 2017","2070.85"
"Assam","Wheat","Jan 2018","2100.00"
"Assam","Wheat","Feb 2018","2004.90"
"Assam","Wheat","Mar 2018","2122.07"
"Assam","Wheat","Apr 2018","2108.86"
"Assam","Wheat","May 2018","2010.15"
"Assam","Wheat","Jun 2018","1903.38"
"Assam","Wheat","Jul 2018","1833.55"
"Assam","Wheat","Aug 2018","1779.32"
"Assam","Wheat","Sep 2018","1833.10"
"Assam","Wheat","Oct 2018","1957.39"
"Assam","Wheat","Nov 2018","1998.43"
"Assam","Wheat","Dec 2018","1999.60"
"Assam","Wheat","Jan 2019","1981.02"
"Assam","Wheat","Feb 2019","1911.19"
"Assam","Wheat","Mar 2019","1880.88"
"Assam","Wheat","Apr 2019","2083.47"
"Assam","Wheat","May 2019","2070.73"
"Assam","Wheat","Jun 2019","1993.76"
"Assam","Wheat","Jul 2019","2027.24"
"Assam","Wheat","Aug 2019","2034.83"
"Assam","Wheat","Sep 2019","2055.45"
"Assam","Wheat","Oct 2019","1952.81"
"Assam","Wheat","Nov 2019","1938.66"
"Assam","Wheat","Dec 2019","1919.71"
"Assam","Tur","Oct 2016","11043.66"
"Assam","Tur","Nov 2016","11202.01"
"Assam","Tur","Dec 2016","9336.96"
"Assam","Tur","Jan 2017","9407.14"
"Assam","Tur","Feb 2017","8914.39"
"Assam","Tur","Mar 2017","8254.14"
"Assam","Tur","Apr 2017","7819.21"
"Assam","Tur","May 2017","7215.76"
"Assam","Tur","Jun 2017","6939.93"
"Assam","Tur","Jul 2017","6919.13"
"Assam","Tur","Aug 2017","7336.62"
"Assam","Tur","Sep 2017","8055.12"
"Assam","Tur","Oct 2017","7856.95"
"Assam","Tur","Nov 2017","7161.22"
"Assam","Tur","Dec 2017","7086.36"
"Assam","Tur","Jan 2018","6828.74"
"Assam","Tur","Feb 2018","6078.18"
"Assam","Tur","Mar 2018","6058.25"
"Assam","Tur","Apr 2018","6317.87"
