"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"Bihar","Tur","Dec 2017","5450.00"
"Bihar","Tur","Sep 2018","5458.84"
"Bihar","Tur","Jan 2022","10000.00"
"Bihar","Tur","Feb 2022","5753.61"
"Bihar","Tur","Mar 2022","5825.73"
"Bihar","Tur","Apr 2022","5675.00"
"Bihar","Tur","Sep 2023","11717.38"
"Bihar","Tur","Oct 2023","12215.24"
"Bihar","Tur","Nov 2023","16000.00"
"Bihar","Tur","Jan 2024","14000.00"
"Bihar","Tur","Feb 2024","14000.00"
"Bihar","Tur","Mar 2024","14000.00"
"Bihar","Tur","Apr 2024","14000.00"
"Bihar","Tur","Jul 2024","13984.61"
"Bihar","Tur","Aug 2024","13666.66"
"Bihar","Tur","Sep 2024","13857.14"
"Bihar","Tur","Oct 2024","13977.77"
"Bihar","Tur","Nov 2024","14000.00"
"Bihar","Tur","Nov 2025","13000.00"
"Bihar","Tur","Dec 2025","12000.00"
"Bihar","Tur","Jan 2026","11000.00"
"Bihar","Tur","Jun 2026","9500.00"
"Bihar","Paddy","Sep 2018","1560.00"
"Bihar","Paddy","Feb 2022","1767.99"
"Bihar","Paddy","Mar 2022","1741.89"
"Bihar","Paddy","Oct 2022","1800.00"
"Bihar","Paddy","Nov 2022","2023.46"
"Bihar","Paddy","Dec 2022","1733.48"
"Bihar","Paddy","Jan 2023","1692.49"
"Bihar","Paddy","Feb 2023","1750.00"
"Bihar","Paddy","Oct 2023","2629.47"
"Bihar","Paddy","Dec 2024","2318.04"
"Bihar","Paddy","Jan 2025","2328.03"
"Bihar","Paddy","Feb 2025","2327.66"
"Bihar","Paddy","Mar 2025","2325.00"
"Bihar","Paddy","Dec 2025","2370.00"
"Bihar","Paddy","Jan 2026","2370.00"
"Bihar","Paddy","Feb 2026","2366.01"
"Bihar","Paddy","Mar 2026","2326.54"
"Bihar","Paddy","Jun 2026","1964.40"
"Bihar","Paddy","Aug 2026","1962.33"
"Bihar","Lentil","Sep 2018","5263.33"
"Bihar","Lentil","Feb 2022","7597.47"
"Bihar","Lentil","Mar 2022","6777.80"
"Bihar","Lentil","Apr 2022","6838.74"
"Bihar","Lentil","Jul 2022","1700.00"
"Bihar","Lentil","Nov 2022","5806.08"
"Bihar","Lentil","Dec 2022","5600.00"
"Bihar","Lentil","Mar 2023","5623.61"
"Bihar","Lentil","Apr 2023","5519.04"
"Bihar","Lentil","May 2023","5822.22"
"Bihar","Lentil","Aug 2023","5800.00"
"Bihar","Lentil","Sep 2023","6390.09"
"Bihar","Lentil","Oct 2023","6122.38"
"Bihar","Lentil","Nov 2025","7466.66"
"Bihar","Lentil","Dec 2025","11100.00"
"Bihar","Lentil","Jan 2026","10000.00"
"Bihar","Rice","Sep 2018","1560.00"
"Bihar","Rice","Jan 2022","2300.00"
"Bihar","Rice","Feb 2022","2726.99"
"Bihar","Rice","Mar 2022","2266.34"
"Bihar","Rice","Apr 2022","2645.71"
