"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"Chandigarh","Onion","Oct 2016","716.25"
"Chandigarh","Onion","Nov 2016","831.34"
"Chandigarh","Onion","Dec 2016","798.83"
"Chandigarh","Onion","Jan 2017","783.15"
"Chandigarh","Onion","Feb 2017","736.29"
"Chandigarh","Onion","Mar 2017","742.93"
"Chandigarh","Onion","Apr 2017","749.80"
"Chandigarh","Onion","May 2017","725.85"
"Chandigarh","Onion","Jun 2017","736.16"
"Chandigarh","Onion","Jul 2017","685.13"
"Chandigarh","Onion","Aug 2017","1949.94"
"Chandigarh","Onion","Sep 2017","1562.33"
"Chandigarh","Onion","Oct 2017","2323.44"
"Chandigarh","Onion","Nov 2017","3085.78"
"Chandigarh","Onion","Dec 2017","3193.41"
"Chandigarh","Onion","Jan 2018","3054.00"
"Chandigarh","Onion","Feb 2018","1779.96"
"Chandigarh","Onion","Mar 2018","1006.05"
"Chandigarh","Onion","Apr 2018","784.14"
"Chandigarh","Onion","May 2018","762.44"
"Chandigarh","Onion","Jun 2018","958.97"
"Chandigarh","Onion","Jul 2018","1010.41"
"Chandigarh","Onion","Aug 2018","1016.52"
"Chandigarh","Onion","Sep 2018","1021.06"
"Chandigarh","Onion","Oct 2018","1188.70"
"Chandigarh","Onion","Nov 2018","989.43"
"Chandigarh","Onion","Dec 2018","750.00"
"Chandigarh","Onion","Jan 2019","750.00"
"Chandigarh","Onion","Feb 2019","742.25"
"Chandigarh","Onion","Mar 2019","726.45"
"Chandigarh","Onion","Apr 2019","814.21"
"Chandigarh","Onion","May 2019","805.17"
"Chandigarh","Onion","Jun 2019","1005.19"
"Chandigarh","Onion","Jul 2019","1083.12"
"Chandigarh","Onion","Aug 2019","1540.73"
"Chandigarh","Onion","Sep 2019","2276.31"
"Chandigarh","Onion","Oct 2019","2924.39"
"Chandigarh","Onion","Nov 2019","3481.43"
"Chandigarh","Onion","Jan 2022","2396.98"
"Chandigarh","Onion","Feb 2022","2477.84"
"Chandigarh","Onion","Mar 2022","1857.38"
