"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"Delhi","Paddy","Oct 2016","1896.21"
"Delhi","Paddy","Nov 2016","2155.23"
"Delhi","Paddy","Dec 2016","2417.03"
"Delhi","Paddy","Jan 2017","2625.64"
"Delhi","Paddy","Feb 2017","2799.75"
"Delhi","Paddy","Mar 2017","2874.21"
"Delhi","Paddy","Apr 2017","3105.41"
"Delhi","Paddy","May 2017","2728.10"
"Delhi","Paddy","Jun 2017","2522.22"
"Delhi","Paddy","Jul 2017","2406.91"
"Delhi","Paddy","Aug 2017","2315.15"
"Delhi","Paddy","Sep 2017","2472.82"
"Delhi","Paddy","Oct 2017","2637.06"
"Delhi","Paddy","Nov 2017","2679.05"
"Delhi","Paddy","Dec 2017","2831.16"
"Delhi","Paddy","Jan 2018","2947.48"
"Delhi","Paddy","Feb 2018","3124.89"
"Delhi","Paddy","Mar 2018","3011.57"
"Delhi","Paddy","Apr 2018","2850.13"
"Delhi","Paddy","May 2018","2608.07"
"Delhi","Paddy","Jun 2018","2573.29"
"Delhi","Paddy","Jul 2018","2627.11"
"Delhi","Paddy","Aug 2018","2590.19"
"Delhi","Paddy","Sep 2018","2325.20"
"Delhi","Paddy","Oct 2018","2603.21"
"Delhi","Paddy","Nov 2018","2827.61"
"Delhi","Paddy","Dec 2018","2911.37"
"Delhi","Paddy","Jan 2019","2752.98"
"Delhi","Paddy","Feb 2019","2911.26"
"Delhi","Paddy","Mar 2019","3043.48"
"Delhi","Paddy","Apr 2019","3161.12"
"Delhi","Paddy","May 2019","3393.61"
"Delhi","Paddy","Jun 2019","3248.33"
"Delhi","Paddy","Jul 2019","2696.43"
"Delhi","Paddy","Aug 2019","2392.89"
"Delhi","Paddy","Sep 2019","2302.11"
"Delhi","Paddy","Oct 2019","2470.67"
"Delhi","Paddy","Nov 2019","2330.04"
"Delhi","Paddy","Dec 2019","2369.92"
"Delhi","Paddy","Jan 2020","2417.85"
"Delhi","Paddy","Feb 2020","2344.56"
"Delhi","Paddy","Jul 2020","2674.37"
"Delhi","Paddy","Aug 2020","2704.71"
"Delhi","Paddy","Jan 2022","2789.17"
"Delhi","Paddy","Feb 2022","3074.25"
"Delhi","Paddy","Mar 2022","3435.53"
"Delhi","Paddy","Apr 2022","3969.60"
"Delhi","Paddy","May 2022","3798.59"
"Delhi","Paddy","Jun 2022","3538.54"
"Delhi","Paddy","Jul 2022","3774.69"
"Delhi","Paddy","Aug 2022","3165.97"
"Delhi","Paddy","Sep 2022","3019.11"
"Delhi","Paddy","Oct 2022","3061.28"
"Delhi","Paddy","Nov 2022","3153.41"
"Delhi","Paddy","Dec 2022","3221.52"
"Delhi","Paddy","Jan 2023","3626.59"
"Delhi","Paddy","Feb 2023","3565.32"
"Delhi","Paddy","Mar 2023","3469.87"
"Delhi","Paddy","Apr 2023","3529.94"
"Delhi","Paddy","May 2023","3027.38"
"Delhi","Paddy","Jun 2023","3168.34"
"Delhi","Paddy","Jul 2023","3232.48"
"Delhi","Paddy","Aug 2023","3390.37"
"Delhi","Paddy","Sep 2023","3342.50"
"Delhi","Paddy","Oct 2023","3281.03"
"Delhi","Paddy","Nov 2023","3587.59"
"Delhi","Paddy","Dec 2023","3531.22"
"Delhi","Paddy","Jan 2024","3212.68"
"Delhi","Paddy","Feb 2024","3146.83"
"Delhi","Paddy","Mar 2024","2994.84"
"Delhi","Paddy","Apr 2024","3264.75"
"Delhi","Paddy","May 2024","2997.13"
"Delhi","Paddy","Jun 2024","3160.43"
"Delhi","Paddy","Jul 2024","3346.48"
"Delhi","Paddy","Aug 2024","2978.67"
"Delhi","Paddy","Sep 2024","2884.00"
"Delhi","Paddy","Oct 2024","2922.83"
"Delhi","Paddy","Nov 2024","3278.98"
"Delhi","Paddy","Dec 2024","3060.92"
"Delhi","Paddy","Jan 2025","2766.83"
"Delhi","Paddy","Feb 2025","2936.20"
"Delhi","Paddy","Mar 2025","3175.40"
"Delhi","Paddy","Apr 2025","3121.94"
"Delhi","Paddy","May 2025","3310.36"
"Delhi","Paddy","Jun 2025","3219.15"
"Delhi","Paddy","Jul 2025","2971.10"
"Delhi","Paddy","Aug 2025","3075.88"
"Delhi","Paddy","Sep 2025","2853.19"
"Delhi","Paddy","Oct 2025","2957.71"
"Delhi","Paddy","Nov 2025","3403.01"
"Delhi","Paddy","Dec 2025","3993.38"
"Delhi","Paddy","Jan 2026","3305.10"
"Delhi","Paddy","Feb 2026","3951.12"
"Delhi","Paddy","Mar 2026","3540.21"
"Delhi","Paddy","Apr 2026","3862.81"
"Delhi","Paddy","May 2026","3893.58"
"Delhi","Paddy","Jun 2026","3670.10"
"Delhi","Paddy","Jul 2026","3859.71"
"Delhi","Paddy","Aug 2026","3288.69"
"Delhi","Paddy","Sep 2026","3735.31"
"Delhi","Rice","Oct 2016","1896.25"
"Delhi","Rice","Nov 2016","2155.20"
"Delhi","Rice","Dec 2016","2416.86"
"Delhi","Rice","Jan 2017","2625.41"
"Delhi","Rice","Feb 2017","2799.18"
"Delhi","Rice","Mar 2017","2873.64"
"Delhi","Rice","Apr 2017","3103.00"
"Delhi","Rice","May 2017","2724.65"
"Delhi","Rice","Jun 2017","2517.99"
"Delhi","Rice","Jul 2017","2404.85"
"Delhi","Rice","Aug 2017","2313.05"
"Delhi","Rice","Sep 2017","2472.06"
"Delhi","Rice","Oct 2017","2636.84"
"Delhi","Rice","Nov 2017","2678.92"
"Delhi","Rice","Dec 2017","2831.09"
"Delhi","Rice","Jan 2018","2946.97"
"Delhi","Rice","Feb 2018","3123.55"
"Delhi","Rice","Mar 2018","3010.45"
"Delhi","Rice","Apr 2018","2848.56"
"Delhi","Rice","May 2018","2608.57"
"Delhi","Rice","Jun 2018","2572.55"
"Delhi","Rice","Jul 2018","2624.82"
"Delhi","Rice","Aug 2018","2585.19"
"Delhi","Rice","Sep 2018","2325.10"
"Delhi","Rice","Oct 2018","2603.44"
"Delhi","Rice","Nov 2018","2827.49"
"Delhi","Rice","Dec 2018","2909.44"
"Delhi","Rice","Jan 2019","2782.84"
"Delhi","Rice","Feb 2019","2910.37"
"Delhi","Rice","Mar 2019","3042.38"
"Delhi","Rice","Apr 2019","3160.06"
"Delhi","Rice","May 2019","3388.30"
"Delhi","Rice","Jun 2019","3239.69"
"Delhi","Rice","Jul 2019","2690.91"
"Delhi","Rice","Aug 2019","2386.00"
"Delhi","Rice","Sep 2019","2302.89"
"Delhi","Rice","Oct 2019","2470.76"
"Delhi","Rice","Nov 2019","2330.04"
"Delhi","Rice","Dec 2019","2369.92"
"Delhi","Rice","Jan 2020","2417.85"
"Delhi","Rice","Feb 2020","2344.56"
"Delhi","Rice","Jul 2020","2674.37"
"Delhi","Rice","Aug 2020","2704.70"
"Delhi","Rice","Jan 2022","2789.17"
"Delhi","Rice","Feb 2022","3074.24"
"Delhi","Rice","Mar 2022","3435.50"
"Delhi","Rice","Apr 2022","3969.85"
"Delhi","Rice","May 2022","3799.91"
"Delhi","Rice","Jun 2022","3545.57"
"Delhi","Rice","Jul 2022","3761.87"
"Delhi","Rice","Aug 2022","3200.77"
"Delhi","Rice","Sep 2022","3019.37"
"Delhi","Rice","Oct 2022","3061.27"
"Delhi","Rice","Nov 2022","3153.41"
"Delhi","Rice","Dec 2022","3221.41"
"Delhi","Rice","Jan 2023","3626.66"
"Delhi","Rice","Feb 2023","3565.23"
"Delhi","Rice","Mar 2023","3469.87"
"Delhi","Rice","Apr 2023","3530.52"
"Delhi","Rice","May 2023","3029.75"
"Delhi","Rice","Jun 2023","3201.10"
"Delhi","Rice","Jul 2023","3224.44"
"Delhi","Rice","Aug 2023","3387.56"
"Delhi","Rice","Sep 2023","3342.55"
"Delhi","Rice","Oct 2023","3281.02"
"Delhi","Rice","Nov 2023","3590.76"
"Delhi","Rice","Dec 2023","3530.89"
"Delhi","Rice","Jan 2024","3212.68"
"Delhi","Rice","Feb 2024","3146.83"
"Delhi","Rice","Mar 2024","2994.20"
"Delhi","Rice","Apr 2024","3273.34"
"Delhi","Rice","May 2024","2997.13"
"Delhi","Rice","Jun 2024","3191.38"
"Delhi","Rice","Jul 2024","3733.95"
"Delhi","Rice","Aug 2024","3135.60"
"Delhi","Rice","Sep 2024","2977.34"
"Delhi","Rice","Oct 2024","2923.04"
"Delhi","Rice","Nov 2024","3302.68"
"Delhi","Rice","Dec 2024","3076.55"
"Delhi","Rice","Jan 2025","2958.62"
"Delhi","Rice","Feb 2025","2939.61"
"Delhi","Rice","Mar 2025","3196.23"
"Delhi","Rice","Apr 2025","3252.80"
"Delhi","Rice","May 2025","3387.00"
"Delhi","Rice","Jun 2025","3406.55"
"Delhi","Rice","Jul 2025","3704.72"
"Delhi","Rice","Aug 2025","3186.14"
"Delhi","Rice","Sep 2025","2947.23"
"Delhi","Rice","Oct 2025","2959.26"
"Delhi","Rice","Nov 2025","3567.75"
"Delhi","Rice","Dec 2025","3142.67"
"Delhi","Rice","Jan 2026","4962.00"
"Delhi","Rice","Feb 2026","6040.56"
"Delhi","Rice","Mar 2026","5524.19"
"Delhi","Rice","Apr 2026","5750.05"
"Delhi","Rice","May 2026","6205.09"
"Delhi","Rice","Jun 2026","4739.16"
"Delhi","Rice","Jul 2026","3810.45"
"Delhi","Rice","Aug 2026","4572.78"
"Delhi","Rice","Sep 2026","4570.00"
"Delhi","Guarseed","Oct 2016","2550.00"
"Delhi","Guarseed","Nov 2016","2977.36"
"Delhi","Guarseed","Dec 2016","2811.91"
"Delhi","Guarseed","Jan 2017","3045.21"
"Delhi","Guarseed","Feb 2017","2767.80"
"Delhi","Guarseed","Mar 2017","3286.20"
"Delhi","Guarseed","Apr 2017","3373.04"
"Delhi","Guarseed","May 2017","3153.00"
"Delhi","Guarseed","Jun 2017","2684.37"
"Delhi","Guarseed","Jul 2017","2705.00"
"Delhi","Guarseed","Aug 2017","2750.00"
"Delhi","Guarseed","Sep 2017","2830.00"
"Delhi","Guarseed","Oct 2017","2902.70"
"Delhi","Guarseed","Nov 2017","3070.27"
"Delhi","Guarseed","Dec 2017","2308.87"
"Delhi","Guarseed","Jan 2018","3529.30"
"Delhi","Guarseed","Feb 2018","3933.84"
"Delhi","Guarseed","Mar 2018","3712.28"
"Delhi","Guarseed","Apr 2018","3445.20"
"Delhi","Guarseed","Jun 2018","2781.81"
"Delhi","Guarseed","Jul 2018","2000.00"
"Delhi","Guarseed","Aug 2018","3440.00"
"Delhi","Guarseed","Sep 2018","2700.00"
"Delhi","Guarseed","Nov 2018","3440.00"
"Delhi","Guarseed","Dec 2018","3796.15"
"Delhi","Guarseed","Jan 2019","3534.36"
"Delhi","Guarseed","Feb 2019","3957.97"
"Delhi","Guarseed","Mar 2019","3354.40"
"Delhi","Guarseed","Apr 2019","3409.75"
"Delhi","Guarseed","May 2019","3631.25"
"Delhi","Guarseed","Jun 2019","3100.00"
"Delhi","Guarseed","Aug 2019","3133.33"
"Delhi","Guarseed","Sep 2019","2400.00"
"Delhi","Guarseed","Oct 2019","3024.56"
"Delhi","Guarseed","Nov 2019","3200.00"
"Delhi","Guarseed","Dec 2019","3343.00"
"Delhi","Guarseed","Jan 2020","2300.00"
"Delhi","Guarseed","Feb 2020","2925.66"
"Delhi","Guarseed","Mar 2022","3150.00"
"Delhi","Wheat","Oct 2016","1812.21"
"Delhi","Wheat","Nov 2016","2058.00"
"Delhi","Wheat","Dec 2016","2013.76"
"Delhi","Wheat","Jan 2017","1979.44"
"Delhi","Wheat","Feb 2017","1913.80"
"Delhi","Wheat","Mar 2017","1808.84"
"Delhi","Wheat","Apr 2017","1772.66"
"Delhi","Wheat","May 2017","1735.58"
"Delhi","Wheat","Jun 2017","1647.41"
"Delhi","Wheat","Jul 2017","1683.54"
"Delhi","Wheat","Aug 2017","1674.72"
"Delhi","Wheat","Sep 2017","1670.11"
"Delhi","Wheat","Oct 2017","1685.02"
"Delhi","Wheat","Nov 2017","1734.32"
"Delhi","Wheat","Dec 2017","1731.64"
"Delhi","Wheat","Jan 2018","1718.27"
"Delhi","Wheat","Feb 2018","1720.06"
"Delhi","Wheat","Mar 2018","1744.27"
"Delhi","Wheat","Apr 2018","1881.50"
"Delhi","Wheat","May 2018","1901.99"
"Delhi","Wheat","Jun 2018","1755.11"
"Delhi","Wheat","Jul 2018","1826.85"
"Delhi","Wheat","Aug 2018","2181.96"
