"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"Goa","Potato","Oct 2016","1389.74"
"Goa","Potato","Nov 2016","1376.54"
"Goa","Potato","Dec 2016","1045.91"
"Goa","Potato","Jan 2017","915.15"
"Goa","Potato","Feb 2017","859.14"
"Goa","Potato","Mar 2017","886.11"
"Goa","Potato","Apr 2017","945.14"
"Goa","Potato","May 2017","1011.01"
"Goa","Potato","Jun 2017","1054.21"
"Goa","Potato","Jul 2017","812.97"
"Goa","Potato","Aug 2017","856.90"
"Goa","Potato","Sep 2017","869.48"
"Goa","Potato","Oct 2017","853.36"
"Goa","Potato","Nov 2017","935.72"
"Goa","Potato","Dec 2017","941.13"
"Goa","Potato","Jan 2018","915.18"
"Goa","Potato","Feb 2018","961.41"
"Goa","Potato","Mar 2018","1000.17"
"Goa","Potato","Apr 2018","1416.18"
"Goa","Potato","May 2018","1659.17"
"Goa","Potato","Jun 2018","1501.52"
"Goa","Potato","Jul 2018","1588.21"
"Goa","Potato","Aug 2018","1646.73"
"Goa","Potato","Sep 2018","1794.77"
"Goa","Potato","Oct 2018","1539.24"
"Goa","Potato","Nov 2018","1816.88"
"Goa","Potato","Dec 2018","1564.86"
"Goa","Potato","Jan 2019","1459.02"
"Goa","Potato","Feb 2019","1177.81"
"Goa","Potato","Mar 2019","1223.91"
"Goa","Potato","Apr 2019","1203.67"
"Goa","Potato","May 2019","1200.00"
"Goa","Potato","Jun 2019","1365.26"
"Goa","Potato","Jul 2019","1417.93"
"Goa","Potato","Aug 2019","1914.60"
"Goa","Potato","Sep 2019","1997.51"
"Goa","Potato","Oct 2019","1921.75"
"Goa","Potato","Nov 2019","2000.00"
"Goa","Potato","Dec 2019","2037.10"
"Goa","Potato","Jan 2020","2119.85"
"Goa","Potato","Feb 2020","1970.72"
"Goa","Potato","May 2020","1930.69"
"Goa","Potato","Jun 2020","2099.02"
"Goa","Potato","Jul 2020","2118.75"
"Goa","Potato","Sep 2020","2756.71"
"Goa","Potato","Oct 2020","2710.03"
"Goa","Potato","Nov 2020","2861.22"
"Goa","Potato","Dec 2020","2411.57"
"Goa","Potato","Jan 2021","1675.06"
"Goa","Potato","Feb 2021","1385.85"
"Goa","Potato","Mar 2021","1456.47"
"Goa","Potato","Apr 2021","1585.84"
"Goa","Potato","May 2021","1607.88"
"Goa","Potato","Jun 2021","1557.11"
"Goa","Potato","Jul 2021","1459.14"
"Goa","Potato","Aug 2021","1461.48"
"Goa","Potato","Sep 2021","1399.31"
"Goa","Potato","Oct 2021","1424.05"
"Goa","Potato","Nov 2021","1792.38"
"Goa","Potato","Dec 2021","1700.81"
"Goa","Potato","Jan 2022","1515.64"
"Goa","Potato","Feb 2022","1350.80"
"Goa","Potato","Mar 2022","1556.42"
"Goa","Potato","Apr 2022","1584.60"
