"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"Gujarat","Tur","Oct 2016","5876.34"
"Gujarat","Tur","Nov 2016","4934.47"
"Gujarat","Tur","Dec 2016","4496.36"
"Gujarat","Tur","Jan 2017","4230.82"
"Gujarat","Tur","Feb 2017","4135.33"
"Gujarat","Tur","Mar 2017","4207.78"
"Gujarat","Tur","Apr 2017","3821.51"
"Gujarat","Tur","May 2017","3766.74"
"Gujarat","Tur","Jun 2017","3346.91"
"Gujarat","Tur","Jul 2017","3241.38"
"Gujarat","Tur","Aug 2017","3668.03"
"Gujarat","Tur","Sep 2017","3578.58"
"Gujarat","Tur","Oct 2017","3308.58"
"Gujarat","Tur","Nov 2017","3428.01"
"Gujarat","Tur","Dec 2017","3626.74"
"Gujarat","Tur","Jan 2018","3932.51"
"Gujarat","Tur","Feb 2018","4058.93"
"Gujarat","Tur","Mar 2018","3858.05"
"Gujarat","Tur","Apr 2018","4166.58"
"Gujarat","Tur","May 2018","3977.95"
"Gujarat","Tur","Jun 2018","3548.05"
"Gujarat","Tur","Jul 2018","3943.12"
"Gujarat","Tur","Aug 2018","3441.68"
"Gujarat","Tur","Sep 2018","3373.02"
"Gujarat","Tur","Oct 2018","3307.07"
"Gujarat","Tur","Nov 2018","4174.27"
"Gujarat","Tur","Dec 2018","4212.72"
"Gujarat","Tur","Jan 2019","5078.30"
"Gujarat","Tur","Feb 2019","5093.16"
"Gujarat","Tur","Mar 2019","4746.32"
"Gujarat","Tur","Apr 2019","4961.17"
"Gujarat","Tur","May 2019","5194.88"
"Gujarat","Tur","Jun 2019","4880.14"
"Gujarat","Tur","Jul 2019","5936.53"
"Gujarat","Tur","Aug 2019","5184.57"
"Gujarat","Tur","Sep 2019","4876.92"
"Gujarat","Tur","Oct 2019","4893.55"
"Gujarat","Tur","Nov 2019","4303.37"
"Gujarat","Tur","Dec 2019","4829.73"
"Gujarat","Tur","Jan 2020","4953.64"
"Gujarat","Tur","Feb 2020","5015.30"
"Gujarat","Tur","Mar 2020","4705.23"
"Gujarat","Tur","Apr 2020","4777.43"
"Gujarat","Tur","May 2020","4622.53"
"Gujarat","Tur","Jun 2020","4777.19"
"Gujarat","Tur","Jul 2020","4982.58"
"Gujarat","Tur","Aug 2020","5048.22"
"Gujarat","Tur","Sep 2020","5663.40"
"Gujarat","Tur","Oct 2020","6417.26"
"Gujarat","Tur","Nov 2020","5443.51"
"Gujarat","Tur","Dec 2020","5250.55"
"Gujarat","Tur","Jan 2021","5527.06"
"Gujarat","Tur","Feb 2021","6084.27"
"Gujarat","Tur","Mar 2021","5911.20"
"Gujarat","Tur","Apr 2021","6162.45"
"Gujarat","Tur","May 2021","5862.04"
"Gujarat","Tur","Jun 2021","5660.37"
"Gujarat","Tur","Jul 2021","5219.99"
"Gujarat","Tur","Aug 2021","4565.45"
"Gujarat","Tur","Sep 2021","5946.91"
"Gujarat","Tur","Oct 2021","5632.83"
"Gujarat","Tur","Nov 2021","5255.51"
"Gujarat","Tur","Dec 2021","5529.85"
"Gujarat","Tur","Jan 2022","5837.95"
"Gujarat","Tur","Feb 2022","5548.49"
"Gujarat","Tur","Mar 2022","5817.48"
"Gujarat","Tur","Apr 2022","5509.07"
"Gujarat","Tur","May 2022","5424.80"
"Gujarat","Tur","Jun 2022","5576.08"
"Gujarat","Tur","Jul 2022","6084.54"
"Gujarat","Tur","Aug 2022","6506.38"
"Gujarat","Tur","Sep 2022","6606.42"
"Gujarat","Tur","Oct 2022","6782.58"
"Gujarat","Tur","Nov 2022","6291.40"
"Gujarat","Tur","Dec 2022","6813.21"
"Gujarat","Tur","Jan 2023","6829.40"
"Gujarat","Tur","Feb 2023","7172.48"
"Gujarat","Tur","Mar 2023","7336.72"
"Gujarat","Tur","Apr 2023","7779.40"
"Gujarat","Tur","May 2023","8216.95"
"Gujarat","Tur","Jun 2023","8890.13"
"Gujarat","Tur","Jul 2023","8531.12"
"Gujarat","Tur","Aug 2023","9218.34"
"Gujarat","Tur","Sep 2023","10525.87"
