"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"Haryana","Cotton","Oct 2016","4819.49"
"Haryana","Cotton","Nov 2016","3311.55"
"Haryana","Cotton","Dec 2016","2638.25"
"Haryana","Cotton","Jan 2017","2755.03"
"Haryana","Cotton","Feb 2017","2773.43"
"Haryana","Cotton","Mar 2017","2772.70"
"Haryana","Cotton","Apr 2017","2826.59"
"Haryana","Cotton","May 2017","2553.27"
"Haryana","Cotton","Jun 2017","2339.07"
"Haryana","Cotton","Jul 2017","2385.59"
"Haryana","Cotton","Aug 2017","3023.25"
"Haryana","Cotton","Sep 2017","2232.43"
"Haryana","Cotton","Oct 2017","2161.97"
"Haryana","Cotton","Nov 2017","2054.29"
"Haryana","Cotton","Dec 2017","2111.21"
"Haryana","Cotton","Jan 2018","2316.61"
"Haryana","Cotton","Feb 2018","2151.94"
"Haryana","Cotton","Mar 2018","2054.87"
"Haryana","Cotton","Apr 2018","1981.00"
"Haryana","Cotton","May 2018","2220.30"
"Haryana","Cotton","Aug 2018","5700.00"
"Haryana","Cotton","Sep 2018","3000.00"
"Haryana","Cotton","Dec 2018","3200.00"
"Haryana","Cotton","Nov 2025","5739.10"
"Haryana","Cotton","Mar 2026","7455.71"
"Haryana","Cotton","May 2026","6300.00"
"Haryana","Cotton","Jun 2026","8090.00"
"Haryana","Urad","Oct 2016","6720.00"
"Haryana","Urad","Nov 2016","9280.27"
"Haryana","Urad","Dec 2016","8006.24"
"Haryana","Urad","Jan 2017","5663.63"
"Haryana","Urad","Feb 2017","5484.00"
"Haryana","Urad","Mar 2017","6000.00"
"Haryana","Urad","Apr 2017","5274.40"
"Haryana","Urad","Jun 2017","4990.91"
"Haryana","Urad","Jul 2017","5088.20"
"Haryana","Urad","Aug 2017","5000.00"
"Haryana","Urad","Sep 2017","6000.00"
"Haryana","Urad","Oct 2017","5127.14"
"Haryana","Urad","Nov 2017","7000.00"
"Haryana","Urad","Jan 2018","6000.00"
"Haryana","Urad","Feb 2018","5500.00"
"Haryana","Urad","Mar 2018","4162.52"
"Haryana","Urad","Apr 2018","3583.55"
"Haryana","Urad","May 2018","7000.00"
"Haryana","Urad","Jun 2018","6000.00"
"Haryana","Urad","Jul 2018","6000.00"
"Haryana","Urad","Aug 2018","5400.00"
"Haryana","Urad","Sep 2018","5400.00"
"Haryana","Urad","Sep 2024","7200.00"
"Haryana","Urad","Apr 2026","5167.92"
"Haryana","Urad","May 2026","5780.63"
"Haryana","Urad","Jun 2026","5479.00"
"Haryana","Bajra","Oct 2016","1272.35"
"Haryana","Bajra","Nov 2016","1428.18"
"Haryana","Bajra","Dec 2016","1434.52"
"Haryana","Bajra","Jan 2017","1437.54"
"Haryana","Bajra","Feb 2017","1585.61"
"Haryana","Bajra","Mar 2017","1351.73"
"Haryana","Bajra","Apr 2017","1580.20"
"Haryana","Bajra","May 2017","1452.98"
"Haryana","Bajra","Jun 2017","1289.07"
"Haryana","Bajra","Jul 2017","1324.85"
"Haryana","Bajra","Aug 2017","1226.40"
"Haryana","Bajra","Sep 2017","1152.22"
"Haryana","Bajra","Oct 2017","1278.84"
"Haryana","Bajra","Nov 2017","1506.16"
"Haryana","Bajra","Dec 2017","1448.95"
"Haryana","Bajra","Jan 2018","1272.19"
"Haryana","Bajra","Feb 2018","1138.20"
"Haryana","Bajra","Mar 2018","1108.87"
"Haryana","Bajra","Apr 2018","1066.62"
"Haryana","Bajra","May 2018","1247.01"
"Haryana","Bajra","Jun 2018","1340.41"
"Haryana","Bajra","Jul 2018","1313.88"
"Haryana","Bajra","Aug 2018","1467.45"
"Haryana","Bajra","Sep 2018","1373.51"
"Haryana","Bajra","Oct 2018","1683.28"
"Haryana","Bajra","Nov 2018","1807.97"
"Haryana","Bajra","Dec 2018","4794.64"
"Haryana","Bajra","Jan 2019","3390.36"
