"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"Himachal Pradesh","Potato","Oct 2016","1239.40"
"Himachal Pradesh","Potato","Nov 2016","1089.77"
"Himachal Pradesh","Potato","Dec 2016","730.18"
"Himachal Pradesh","Potato","Jan 2017","523.25"
"Himachal Pradesh","Potato","Feb 2017","552.15"
"Himachal Pradesh","Potato","Mar 2017","443.83"
"Himachal Pradesh","Potato","Apr 2017","461.60"
"Himachal Pradesh","Potato","May 2017","542.07"
"Himachal Pradesh","Potato","Jun 2017","690.66"
"Himachal Pradesh","Potato","Jul 2017","733.44"
"Himachal Pradesh","Potato","Aug 2017","813.46"
"Himachal Pradesh","Potato","Sep 2017","813.96"
"Himachal Pradesh","Potato","Oct 2017","742.09"
"Himachal Pradesh","Potato","Nov 2017","827.48"
"Himachal Pradesh","Potato","Dec 2017","698.56"
"Himachal Pradesh","Potato","Jan 2018","544.20"
"Himachal Pradesh","Potato","Feb 2018","546.80"
"Himachal Pradesh","Potato","Mar 2018","750.00"
"Himachal Pradesh","Potato","Apr 2018","910.77"
"Himachal Pradesh","Potato","May 2018","1146.62"
"Himachal Pradesh","Potato","Jun 2018","1310.96"
"Himachal Pradesh","Potato","Jul 2018","1423.20"
"Himachal Pradesh","Potato","Aug 2018","1530.47"
"Himachal Pradesh","Potato","Sep 2018","1563.24"
"Himachal Pradesh","Potato","Oct 2018","1806.31"
"Himachal Pradesh","Potato","Nov 2018","1575.78"
"Himachal Pradesh","Potato","Dec 2018","734.24"
"Himachal Pradesh","Potato","Jan 2019","619.39"
"Himachal Pradesh","Potato","Feb 2019","651.93"
"Himachal Pradesh","Potato","Mar 2019","684.77"
"Himachal Pradesh","Potato","Apr 2019","868.00"
"Himachal Pradesh","Potato","May 2019","1060.05"
"Himachal Pradesh","Potato","Jun 2019","1260.82"
"Himachal Pradesh","Potato","Jul 2019","1490.33"
"Himachal Pradesh","Potato","Aug 2019","1577.69"
"Himachal Pradesh","Potato","Sep 2019","1424.00"
"Himachal Pradesh","Potato","Oct 2019","1465.78"
"Himachal Pradesh","Potato","Nov 2019","1429.97"
"Himachal Pradesh","Potato","Dec 2019","1634.34"
"Himachal Pradesh","Potato","Jan 2020","1479.04"
"Himachal Pradesh","Potato","Feb 2020","1214.75"
"Himachal Pradesh","Potato","Mar 2020","1686.34"
"Himachal Pradesh","Potato","Apr 2020","1759.80"
"Himachal Pradesh","Potato","May 2020","1861.55"
"Himachal Pradesh","Potato","Jun 2020","1951.77"
"Himachal Pradesh","Potato","Jul 2020","2179.61"
"Himachal Pradesh","Potato","Aug 2020","2744.03"
"Himachal Pradesh","Potato","Sep 2020","3245.11"
"Himachal Pradesh","Potato","Oct 2020","3435.81"
"Himachal Pradesh","Potato","Nov 2020","3761.81"
"Himachal Pradesh","Potato","Dec 2020","1845.30"
"Himachal Pradesh","Potato","Jan 2021","1121.16"
"Himachal Pradesh","Potato","Feb 2021","924.85"
"Himachal Pradesh","Potato","Mar 2021","953.54"
"Himachal Pradesh","Potato","Apr 2021","954.51"
"Himachal Pradesh","Potato","May 2021","1183.44"
"Himachal Pradesh","Potato","Jun 2021","1375.07"
"Himachal Pradesh","Potato","Jul 2021","1298.91"
"Himachal Pradesh","Potato","Aug 2021","1475.78"
"Himachal Pradesh","Potato","Sep 2021","1535.38"
"Himachal Pradesh","Potato","Oct 2021","1762.48"
"Himachal Pradesh","Potato","Nov 2021","1892.01"
"Himachal Pradesh","Potato","Dec 2021","1206.05"
"Himachal Pradesh","Potato","Jan 2022","1026.34"
"Himachal Pradesh","Potato","Feb 2022","1067.97"
"Himachal Pradesh","Potato","Mar 2022","1170.87"
"Himachal Pradesh","Potato","Apr 2022","1247.29"
"Himachal Pradesh","Potato","May 2022","1616.69"
"Himachal Pradesh","Potato","Jun 2022","1935.84"
"Himachal Pradesh","Potato","Jul 2022","2190.89"
"Himachal Pradesh","Potato","Aug 2022","2264.85"
"Himachal Pradesh","Potato","Sep 2022","2284.93"
"Himachal Pradesh","Potato","Oct 2022","2310.60"
"Himachal Pradesh","Potato","Nov 2022","2092.59"
"Himachal Pradesh","Potato","Dec 2022","1435.63"
"Himachal Pradesh","Potato","Jan 2023","961.56"
"Himachal Pradesh","Potato","Feb 2023","862.19"
"Himachal Pradesh","Potato","Mar 2023","848.03"
"Himachal Pradesh","Potato","Apr 2023","997.78"
"Himachal Pradesh","Potato","May 2023","1184.81"
"Himachal Pradesh","Potato","Jun 2023","1479.44"
"Himachal Pradesh","Potato","Jul 2023","1598.82"
"Himachal Pradesh","Potato","Aug 2023","1796.23"
"Himachal Pradesh","Potato","Sep 2023","1976.09"
"Himachal Pradesh","Potato","Oct 2023","1987.58"
"Himachal Pradesh","Potato","Nov 2023","1795.83"
"Himachal Pradesh","Potato","Dec 2023","1017.92"
"Himachal Pradesh","Potato","Jan 2024","840.30"
"Himachal Pradesh","Potato","Feb 2024","960.18"
"Himachal Pradesh","Potato","Mar 2024","1315.08"
"Himachal Pradesh","Potato","Apr 2024","1656.04"
"Himachal Pradesh","Potato","May 2024","1989.96"
"Himachal Pradesh","Potato","Jun 2024","2312.92"
"Himachal Pradesh","Potato","Jul 2024","2638.85"
"Himachal Pradesh","Potato","Aug 2024","2810.59"
"Himachal Pradesh","Potato","Sep 2024","2771.22"
"Himachal Pradesh","Potato","Oct 2024","2750.24"
"Himachal Pradesh","Potato","Nov 2024","2760.39"
"Himachal Pradesh","Potato","Dec 2024","2354.33"
"Himachal Pradesh","Potato","Jan 2025","1382.12"
"Himachal Pradesh","Potato","Feb 2025","1089.20"
"Himachal Pradesh","Potato","Mar 2025","1061.47"
"Himachal Pradesh","Potato","Apr 2025","1018.52"
"Himachal Pradesh","Potato","May 2025","1195.39"
"Himachal Pradesh","Potato","Jun 2025","1485.27"
"Himachal Pradesh","Potato","Jul 2025","1574.24"
"Himachal Pradesh","Potato","Aug 2025","1742.46"
"Himachal Pradesh","Potato","Sep 2025","1758.63"
"Himachal Pradesh","Potato","Oct 2025","1738.07"
"Himachal Pradesh","Potato","Nov 2025","1750.98"
"Himachal Pradesh","Potato","Dec 2025","1118.16"
"Himachal Pradesh","Potato","Jan 2026","904.37"
"Himachal Pradesh","Potato","Feb 2026","854.08"
"Himachal Pradesh","Potato","Mar 2026","822.67"
"Himachal Pradesh","Potato","Apr 2026","854.32"
"Himachal Pradesh","Potato","May 2026","917.61"
"Himachal Pradesh","Potato","Jun 2026","1199.46"
"Himachal Pradesh","Potato","Jul 2026","1514.76"
"Himachal Pradesh","Potato","Aug 2026","982.82"
"Himachal Pradesh","Potato","Sep 2026","1410.78"
"Himachal Pradesh","Onion","Oct 2016","1157.78"
"Himachal Pradesh","Onion","Nov 2016","1370.56"
"Himachal Pradesh","Onion","Dec 2016","1270.12"
"Himachal Pradesh","Onion","Jan 2017","1189.65"
"Himachal Pradesh","Onion","Feb 2017","1074.05"
"Himachal Pradesh","Onion","Mar 2017","1020.50"
"Himachal Pradesh","Onion","Apr 2017","1088.26"
"Himachal Pradesh","Onion","May 2017","1017.40"
"Himachal Pradesh","Onion","Jun 2017","1128.52"
"Himachal Pradesh","Onion","Jul 2017","1163.47"
"Himachal Pradesh","Onion","Aug 2017","2504.25"
"Himachal Pradesh","Onion","Sep 2017","2093.62"
"Himachal Pradesh","Onion","Oct 2017","2928.42"
"Himachal Pradesh","Onion","Nov 2017","3572.33"
"Himachal Pradesh","Onion","Dec 2017","3869.38"
"Himachal Pradesh","Onion","Jan 2018","3799.51"
"Himachal Pradesh","Onion","Feb 2018","2589.44"
"Himachal Pradesh","Onion","Mar 2018","1635.10"
"Himachal Pradesh","Onion","Apr 2018","1315.80"
"Himachal Pradesh","Onion","May 2018","1168.80"
"Himachal Pradesh","Onion","Jun 2018","1471.00"
"Himachal Pradesh","Onion","Jul 2018","1921.24"
"Himachal Pradesh","Onion","Aug 2018","1741.26"
"Himachal Pradesh","Onion","Sep 2018","1491.52"
"Himachal Pradesh","Onion","Oct 2018","1794.12"
"Himachal Pradesh","Onion","Nov 2018","1566.18"
"Himachal Pradesh","Onion","Dec 2018","1269.25"
"Himachal Pradesh","Onion","Jan 2019","1228.61"
"Himachal Pradesh","Onion","Feb 2019","1112.15"
"Himachal Pradesh","Onion","Mar 2019","1048.81"
"Himachal Pradesh","Onion","Apr 2019","1154.79"
"Himachal Pradesh","Onion","May 2019","1282.39"
"Himachal Pradesh","Onion","Jun 2019","1579.19"
"Himachal Pradesh","Onion","Jul 2019","1881.35"
"Himachal Pradesh","Onion","Aug 2019","2305.83"
"Himachal Pradesh","Onion","Sep 2019","3644.41"
"Himachal Pradesh","Onion","Oct 2019","3965.66"
"Himachal Pradesh","Onion","Nov 2019","5502.08"
"Himachal Pradesh","Onion","Dec 2019","8687.04"
"Himachal Pradesh","Onion","Jan 2020","4924.38"
"Himachal Pradesh","Onion","Feb 2020","3048.58"
"Himachal Pradesh","Onion","Mar 2020","2807.90"
"Himachal Pradesh","Onion","Apr 2020","1919.67"
"Himachal Pradesh","Onion","May 2020","1279.73"
"Himachal Pradesh","Onion","Jun 2020","1407.19"
"Himachal Pradesh","Onion","Jul 2020","1503.59"
"Himachal Pradesh","Onion","Aug 2020","1704.17"
"Himachal Pradesh","Onion","Sep 2020","2930.60"
"Himachal Pradesh","Onion","Oct 2020","4553.63"
"Himachal Pradesh","Onion","Nov 2020","4401.13"
"Himachal Pradesh","Onion","Dec 2020","3263.02"
"Himachal Pradesh","Onion","Jan 2021","3204.54"
"Himachal Pradesh","Onion","Feb 2021","3849.42"
"Himachal Pradesh","Onion","Mar 2021","2443.17"
"Himachal Pradesh","Onion","Apr 2021","1801.25"
"Himachal Pradesh","Onion","May 2021","1994.39"
"Himachal Pradesh","Onion","Jun 2021","2614.52"
"Himachal Pradesh","Onion","Jul 2021","2686.74"
"Himachal Pradesh","Onion","Aug 2021","2586.13"
"Himachal Pradesh","Onion","Sep 2021","2402.90"
"Himachal Pradesh","Onion","Oct 2021","3667.78"
"Himachal Pradesh","Onion","Nov 2021","3010.00"
"Himachal Pradesh","Onion","Dec 2021","2609.39"
"Himachal Pradesh","Onion","Jan 2022","2924.05"
"Himachal Pradesh","Onion","Feb 2022","3045.80"
"Himachal Pradesh","Onion","Mar 2022","2328.88"
"Himachal Pradesh","Onion","Apr 2022","1714.33"
"Himachal Pradesh","Onion","May 2022","1635.51"
"Himachal Pradesh","Onion","Jun 2022","1821.19"
"Himachal Pradesh","Onion","Jul 2022","2025.81"
"Himachal Pradesh","Onion","Aug 2022","2011.30"
"Himachal Pradesh","Onion","Sep 2022","1973.97"
"Himachal Pradesh","Onion","Oct 2022","2328.03"
"Himachal Pradesh","Onion","Nov 2022","2415.76"
"Himachal Pradesh","Onion","Dec 2022","1965.18"
"Himachal Pradesh","Onion","Jan 2023","2058.15"
"Himachal Pradesh","Onion","Feb 2023","1746.23"
"Himachal Pradesh","Onion","Mar 2023","1575.02"
"Himachal Pradesh","Onion","Apr 2023","1546.74"
"Himachal Pradesh","Onion","May 2023","1549.79"
"Himachal Pradesh","Onion","Jun 2023","1653.03"
"Himachal Pradesh","Onion","Jul 2023","2192.75"
"Himachal Pradesh","Onion","Aug 2023","2568.09"
"Himachal Pradesh","Onion","Sep 2023","2726.27"
"Himachal Pradesh","Onion","Oct 2023","3456.54"
"Himachal Pradesh","Onion","Nov 2023","4507.58"
"Himachal Pradesh","Onion","Dec 2023","3434.65"
"Himachal Pradesh","Onion","Jan 2024","2609.55"
"Himachal Pradesh","Onion","Feb 2024","2084.31"
"Himachal Pradesh","Onion","Mar 2024","2493.84"
"Himachal Pradesh","Onion","Apr 2024","2356.90"
"Himachal Pradesh","Onion","May 2024","2211.65"
"Himachal Pradesh","Onion","Jun 2024","3077.01"
"Himachal Pradesh","Onion","Jul 2024","3682.83"
"Himachal Pradesh","Onion","Aug 2024","4156.95"
"Himachal Pradesh","Onion","Sep 2024","4893.87"
"Himachal Pradesh","Onion","Oct 2024","4784.59"
"Himachal Pradesh","Onion","Nov 2024","4771.70"
"Himachal Pradesh","Onion","Dec 2024","3800.81"
"Himachal Pradesh","Onion","Jan 2025","2937.90"
"Himachal Pradesh","Onion","Feb 2025","3077.76"
"Himachal Pradesh","Onion","Mar 2025","2692.78"
"Himachal Pradesh","Onion","Apr 2025","1917.66"
"Himachal Pradesh","Onion","May 2025","1618.97"
"Himachal Pradesh","Onion","Jun 2025","1836.12"
"Himachal Pradesh","Onion","Jul 2025","2089.98"
"Himachal Pradesh","Onion","Aug 2025","2253.22"
"Himachal Pradesh","Onion","Sep 2025","2051.92"
"Himachal Pradesh","Onion","Oct 2025","1807.97"
"Himachal Pradesh","Onion","Nov 2025","1633.98"
"Himachal Pradesh","Onion","Dec 2025","2046.45"
"Himachal Pradesh","Onion","Jan 2026","2377.24"
"Himachal Pradesh","Onion","Feb 2026","2039.23"
"Himachal Pradesh","Onion","Mar 2026","1798.31"
"Himachal Pradesh","Onion","Apr 2026","1796.81"
"Himachal Pradesh","Onion","May 2026","1875.59"
"Himachal Pradesh","Onion","Jun 2026","2278.76"
"Himachal Pradesh","Onion","Jul 2026","3000.21"
"Himachal Pradesh","Onion","Aug 2026","3292.94"
"Himachal Pradesh","Onion","Sep 2026","4779.02"
"Himachal Pradesh","Tomato","Oct 2016","1639.82"
"Himachal Pradesh","Tomato","Nov 2016","1446.89"
"Himachal Pradesh","Tomato","Dec 2016","1393.58"
"Himachal Pradesh","Tomato","Jan 2017","1223.51"
"Himachal Pradesh","Tomato","Feb 2017","1253.96"
"Himachal Pradesh","Tomato","Mar 2017","1389.39"
"Himachal Pradesh","Tomato","Apr 2017","1660.90"
"Himachal Pradesh","Tomato","May 2017","979.73"
"Himachal Pradesh","Tomato","Jun 2017","1721.27"
"Himachal Pradesh","Tomato","Jul 2017","3386.73"
"Himachal Pradesh","Tomato","Aug 2017","2919.49"
"Himachal Pradesh","Tomato","Sep 2017","1730.68"
"Himachal Pradesh","Tomato","Oct 2017","2163.01"
"Himachal Pradesh","Tomato","Nov 2017","3811.26"
"Himachal Pradesh","Tomato","Dec 2017","2448.47"
"Himachal Pradesh","Tomato","Jan 2018","1547.67"
"Himachal Pradesh","Tomato","Feb 2018","1310.48"
"Himachal Pradesh","Tomato","Mar 2018","1332.56"
"Himachal Pradesh","Tomato","Apr 2018","1287.16"
"Himachal Pradesh","Tomato","May 2018","811.00"
"Himachal Pradesh","Tomato","Jun 2018","1124.97"
"Himachal Pradesh","Tomato","Jul 2018","1421.79"
"Himachal Pradesh","Tomato","Aug 2018","1288.62"
"Himachal Pradesh","Tomato","Sep 2018","1166.74"
"Himachal Pradesh","Tomato","Oct 2018","1814.69"
"Himachal Pradesh","Tomato","Nov 2018","1467.59"
"Himachal Pradesh","Tomato","Dec 2018","1623.19"
"Himachal Pradesh","Tomato","Jan 2019","1956.13"
"Himachal Pradesh","Tomato","Feb 2019","2133.48"
"Himachal Pradesh","Tomato","Mar 2019","2668.92"
"Himachal Pradesh","Tomato","Apr 2019","2153.92"
"Himachal Pradesh","Tomato","May 2019","2380.62"
"Himachal Pradesh","Tomato","Jun 2019","1711.93"
"Himachal Pradesh","Tomato","Jul 2019","2194.50"
"Himachal Pradesh","Tomato","Aug 2019","1723.54"
"Himachal Pradesh","Tomato","Sep 2019","2153.90"
"Himachal Pradesh","Tomato","Oct 2019","3120.15"
"Himachal Pradesh","Tomato","Nov 2019","2785.65"
"Himachal Pradesh","Tomato","Dec 2019","1744.41"
"Himachal Pradesh","Tomato","Jan 2020","2046.97"
"Himachal Pradesh","Tomato","Feb 2020","1568.49"
"Himachal Pradesh","Tomato","Mar 2020","1690.73"
"Himachal Pradesh","Tomato","Apr 2020","2030.13"
"Himachal Pradesh","Tomato","May 2020","1176.51"
"Himachal Pradesh","Tomato","Jun 2020","1211.94"
"Himachal Pradesh","Tomato","Jul 2020","2255.91"
"Himachal Pradesh","Tomato","Aug 2020","2269.97"
"Himachal Pradesh","Tomato","Sep 2020","3165.69"
"Himachal Pradesh","Tomato","Oct 2020","2991.85"
"Himachal Pradesh","Tomato","Nov 2020","3654.45"
"Himachal Pradesh","Tomato","Dec 2020","2922.02"
"Himachal Pradesh","Tomato","Jan 2021","2019.99"
"Himachal Pradesh","Tomato","Feb 2021","1977.07"
"Himachal Pradesh","Tomato","Mar 2021","1787.47"
"Himachal Pradesh","Tomato","Apr 2021","2102.20"
"Himachal Pradesh","Tomato","May 2021","1169.42"
"Himachal Pradesh","Tomato","Jun 2021","1219.66"
"Himachal Pradesh","Tomato","Jul 2021","1309.30"
"Himachal Pradesh","Tomato","Aug 2021","1084.33"
"Himachal Pradesh","Tomato","Sep 2021","1575.51"
"Himachal Pradesh","Tomato","Oct 2021","3984.70"
"Himachal Pradesh","Tomato","Nov 2021","5186.58"
"Himachal Pradesh","Tomato","Dec 2021","4088.53"
"Himachal Pradesh","Tomato","Jan 2022","2431.44"
"Himachal Pradesh","Tomato","Feb 2022","2878.75"
"Himachal Pradesh","Tomato","Mar 2022","2426.71"
"Himachal Pradesh","Tomato","Apr 2022","2909.89"
"Himachal Pradesh","Tomato","May 2022","2949.13"
"Himachal Pradesh","Tomato","Jun 2022","3220.65"
"Himachal Pradesh","Tomato","Jul 2022","1436.64"
"Himachal Pradesh","Tomato","Aug 2022","1618.04"
"Himachal Pradesh","Tomato","Sep 2022","2794.52"
"Himachal Pradesh","Tomato","Oct 2022","3390.46"
"Himachal Pradesh","Tomato","Nov 2022","2167.79"
"Himachal Pradesh","Tomato","Dec 2022","1819.22"
"Himachal Pradesh","Tomato","Jan 2023","1784.24"
"Himachal Pradesh","Tomato","Feb 2023","1717.51"
"Himachal Pradesh","Tomato","Mar 2023","2147.22"
"Himachal Pradesh","Tomato","Apr 2023","1949.61"
"Himachal Pradesh","Tomato","May 2023","1441.25"
"Himachal Pradesh","Tomato","Jun 2023","2702.96"
"Himachal Pradesh","Tomato","Jul 2023","6164.08"
"Himachal Pradesh","Tomato","Aug 2023","5347.07"
"Himachal Pradesh","Tomato","Sep 2023","1604.28"
"Himachal Pradesh","Tomato","Oct 2023","1601.22"
"Himachal Pradesh","Tomato","Nov 2023","3501.92"
"Himachal Pradesh","Tomato","Dec 2023","2980.52"
"Himachal Pradesh","Tomato","Jan 2024","2626.25"
"Himachal Pradesh","Tomato","Feb 2024","3220.20"
"Himachal Pradesh","Tomato","Mar 2024","2895.72"
"Himachal Pradesh","Tomato","Apr 2024","2718.59"
"Himachal Pradesh","Tomato","May 2024","1880.84"
"Himachal Pradesh","Tomato","Jun 2024","1890.76"
"Himachal Pradesh","Tomato","Jul 2024","3140.64"
"Himachal Pradesh","Tomato","Aug 2024","2672.21"
"Himachal Pradesh","Tomato","Sep 2024","3114.04"
"Himachal Pradesh","Tomato","Oct 2024","5375.38"
"Himachal Pradesh","Tomato","Nov 2024","3935.51"
"Himachal Pradesh","Tomato","Dec 2024","3770.96"
"Himachal Pradesh","Tomato","Jan 2025","1936.42"
"Himachal Pradesh","Tomato","Feb 2025","1605.60"
"Himachal Pradesh","Tomato","Mar 2025","1557.74"
"Himachal Pradesh","Tomato","Apr 2025","1730.71"
"Himachal Pradesh","Tomato","May 2025","1436.70"
"Himachal Pradesh","Tomato","Jun 2025","2160.03"
"Himachal Pradesh","Tomato","Jul 2025","2324.65"
"Himachal Pradesh","Tomato","Aug 2025","3489.82"
"Himachal Pradesh","Tomato","Sep 2025","2474.73"
"Himachal Pradesh","Tomato","Oct 2025","2518.38"
"Himachal Pradesh","Tomato","Nov 2025","3763.99"
"Himachal Pradesh","Tomato","Dec 2025","4411.34"
"Himachal Pradesh","Tomato","Jan 2026","3878.57"
"Himachal Pradesh","Tomato","Feb 2026","2171.81"
"Himachal Pradesh","Tomato","Mar 2026","2231.71"
"Himachal Pradesh","Tomato","Apr 2026","2618.01"
"Himachal Pradesh","Tomato","May 2026","1605.33"
"Himachal Pradesh","Tomato","Jun 2026","2312.60"
"Himachal Pradesh","Tomato","Jul 2026","1758.86"
"Himachal Pradesh","Tomato","Aug 2026","1652.93"
"Himachal Pradesh","Tomato","Sep 2026","2496.66"
"Himachal Pradesh","Bajra","Apr 2019","2300.00"
"Himachal Pradesh","Wheat","Apr 2026","2585.00"
"Himachal Pradesh","Wheat","May 2026","2585.00"
"Himachal Pradesh","Wheat","Jun 2026","2585.00"
