"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"Jammu And Kashmir","Potato","Oct 2016","1316.07"
"Jammu And Kashmir","Potato","Nov 2016","856.82"
"Jammu And Kashmir","Potato","Dec 2016","694.44"
"Jammu And Kashmir","Potato","Jan 2017","585.36"
"Jammu And Kashmir","Potato","Feb 2017","579.61"
"Jammu And Kashmir","Potato","Mar 2017","500.19"
"Jammu And Kashmir","Potato","Apr 2017","598.47"
"Jammu And Kashmir","Potato","May 2017","602.89"
"Jammu And Kashmir","Potato","Jun 2017","570.19"
"Jammu And Kashmir","Potato","Jul 2017","623.63"
"Jammu And Kashmir","Potato","Aug 2017","667.11"
"Jammu And Kashmir","Potato","Sep 2017","729.70"
"Jammu And Kashmir","Potato","Oct 2017","622.78"
"Jammu And Kashmir","Potato","Nov 2017","823.70"
"Jammu And Kashmir","Potato","Dec 2017","1012.27"
"Jammu And Kashmir","Potato","Jan 2018","635.26"
"Jammu And Kashmir","Potato","Feb 2018","579.13"
"Jammu And Kashmir","Potato","Mar 2018","890.95"
"Jammu And Kashmir","Potato","Apr 2018","1081.55"
"Jammu And Kashmir","Potato","May 2018","1224.84"
"Jammu And Kashmir","Potato","Jun 2018","1265.53"
"Jammu And Kashmir","Potato","Jul 2018","1277.48"
"Jammu And Kashmir","Potato","Aug 2018","1164.61"
"Jammu And Kashmir","Potato","Sep 2018","1134.67"
"Jammu And Kashmir","Potato","Oct 2018","1401.87"
"Jammu And Kashmir","Potato","Nov 2018","1233.70"
"Jammu And Kashmir","Potato","Dec 2018","857.05"
"Jammu And Kashmir","Potato","Jan 2019","589.03"
"Jammu And Kashmir","Potato","Feb 2019","716.52"
"Jammu And Kashmir","Potato","Mar 2019","678.35"
"Jammu And Kashmir","Potato","Apr 2019","1003.80"
"Jammu And Kashmir","Potato","May 2019","1033.76"
"Jammu And Kashmir","Potato","Jun 2019","1134.83"
"Jammu And Kashmir","Potato","Jul 2019","1347.31"
"Jammu And Kashmir","Potato","Aug 2019","1392.86"
"Jammu And Kashmir","Potato","Sep 2019","1220.26"
"Jammu And Kashmir","Potato","Oct 2019","1353.82"
"Jammu And Kashmir","Potato","Nov 2019","1258.62"
"Jammu And Kashmir","Potato","Dec 2019","1452.95"
"Jammu And Kashmir","Potato","Jan 2020","1200.00"
"Jammu And Kashmir","Potato","Feb 2020","732.93"
"Jammu And Kashmir","Potato","Mar 2020","1594.84"
"Jammu And Kashmir","Potato","Apr 2020","2012.63"
"Jammu And Kashmir","Potato","May 2020","2003.60"
"Jammu And Kashmir","Potato","Jun 2020","1921.51"
"Jammu And Kashmir","Potato","Jul 2020","2065.00"
"Jammu And Kashmir","Potato","Aug 2020","2339.66"
"Jammu And Kashmir","Potato","Sep 2020","3016.14"
"Jammu And Kashmir","Potato","Oct 2020","3091.24"
"Jammu And Kashmir","Potato","Nov 2020","3523.57"
"Jammu And Kashmir","Potato","Dec 2020","2004.86"
"Jammu And Kashmir","Potato","Jan 2021","1088.07"
"Jammu And Kashmir","Potato","Feb 2021","1015.47"
"Jammu And Kashmir","Potato","Mar 2021","998.46"
"Jammu And Kashmir","Potato","Apr 2021","1032.54"
"Jammu And Kashmir","Potato","May 2021","1003.48"
"Jammu And Kashmir","Potato","Jun 2021","1360.25"
"Jammu And Kashmir","Potato","Jul 2021","1282.75"
"Jammu And Kashmir","Potato","Aug 2021","1233.31"
"Jammu And Kashmir","Potato","Sep 2021","1193.09"
"Jammu And Kashmir","Potato","Oct 2021","1336.41"
"Jammu And Kashmir","Potato","Nov 2021","1676.80"
"Jammu And Kashmir","Potato","Dec 2021","1092.44"
"Jammu And Kashmir","Potato","Jan 2022","1066.45"
"Jammu And Kashmir","Potato","Feb 2022","1153.89"
"Jammu And Kashmir","Potato","Mar 2022","1169.32"
