"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"Jharkhand","Lentil","Oct 2016","7335.23"
"Jharkhand","Lentil","Nov 2016","8138.39"
"Jharkhand","Lentil","Dec 2016","7877.63"
"Jharkhand","Lentil","Jan 2017","8002.55"
"Jharkhand","Lentil","Feb 2017","7918.75"
"Jharkhand","Lentil","Mar 2017","7932.31"
"Jharkhand","Lentil","Apr 2017","7458.79"
"Jharkhand","Lentil","May 2017","6978.89"
"Jharkhand","Lentil","Jun 2017","6536.96"
"Jharkhand","Lentil","Jul 2017","5907.82"
"Jharkhand","Lentil","Aug 2017","4345.46"
"Jharkhand","Lentil","Sep 2017","4209.53"
"Jharkhand","Lentil","Oct 2017","4320.42"
"Jharkhand","Lentil","Nov 2017","4143.60"
"Jharkhand","Lentil","Dec 2017","4210.32"
"Jharkhand","Lentil","Jan 2018","4103.95"
"Jharkhand","Lentil","Feb 2018","4080.61"
"Jharkhand","Lentil","Mar 2018","4286.22"
"Jharkhand","Lentil","Apr 2018","4374.44"
"Jharkhand","Lentil","May 2018","4369.44"
"Jharkhand","Lentil","Jun 2018","4369.43"
"Jharkhand","Lentil","Jul 2018","4384.63"
"Jharkhand","Lentil","Aug 2018","4379.65"
"Jharkhand","Lentil","Sep 2018","4313.15"
"Jharkhand","Lentil","Oct 2018","4318.95"
"Jharkhand","Lentil","Nov 2018","4458.81"
"Jharkhand","Lentil","Dec 2018","4304.79"
"Jharkhand","Lentil","Jan 2019","4307.85"
"Jharkhand","Lentil","Feb 2019","4262.26"
"Jharkhand","Lentil","Mar 2019","4429.05"
"Jharkhand","Lentil","Apr 2019","4530.71"
"Jharkhand","Lentil","May 2019","4560.32"
"Jharkhand","Lentil","Jun 2019","4547.73"
"Jharkhand","Lentil","Jul 2019","4579.95"
"Jharkhand","Lentil","Sep 2019","4578.89"
"Jharkhand","Onion","Oct 2016","1587.71"
"Jharkhand","Onion","Nov 2016","1563.33"
"Jharkhand","Onion","Dec 2016","1324.13"
"Jharkhand","Onion","Jan 2017","1291.52"
"Jharkhand","Onion","Feb 2017","1232.82"
"Jharkhand","Onion","Mar 2017","1222.52"
"Jharkhand","Onion","Apr 2017","1226.16"
"Jharkhand","Onion","May 2017","1324.90"
"Jharkhand","Onion","Jun 2017","1311.24"
"Jharkhand","Onion","Jul 2017","1397.34"
"Jharkhand","Onion","Aug 2017","2689.05"
"Jharkhand","Onion","Sep 2017","2655.86"
"Jharkhand","Onion","Oct 2017","3307.86"
"Jharkhand","Onion","Nov 2017","3879.68"
"Jharkhand","Onion","Dec 2017","4283.10"
"Jharkhand","Onion","Jan 2018","4207.39"
"Jharkhand","Onion","Feb 2018","3328.95"
"Jharkhand","Onion","Mar 2018","2035.91"
"Jharkhand","Onion","Apr 2018","1302.73"
"Jharkhand","Onion","May 2018","1212.26"
"Jharkhand","Onion","Jun 2018","1231.81"
"Jharkhand","Onion","Jul 2018","2080.18"
"Jharkhand","Onion","Aug 2018","2159.37"
"Jharkhand","Onion","Sep 2018","2427.89"
"Jharkhand","Onion","Oct 2018","2222.42"
"Jharkhand","Onion","Nov 2018","2392.20"
"Jharkhand","Onion","Dec 2018","2335.90"
"Jharkhand","Onion","Jan 2019","1554.28"
"Jharkhand","Onion","Feb 2019","2263.32"
"Jharkhand","Onion","Mar 2019","2060.36"
"Jharkhand","Onion","Apr 2019","1956.20"
"Jharkhand","Onion","May 2019","1519.55"
"Jharkhand","Onion","Jun 2019","1466.68"
"Jharkhand","Onion","Jul 2019","2183.11"
"Jharkhand","Onion","Aug 2019","2352.01"
"Jharkhand","Onion","Sep 2019","4204.38"
"Jharkhand","Onion","Oct 2019","4245.45"
"Jharkhand","Onion","Nov 2019","6080.57"
"Jharkhand","Onion","Jun 2020","1449.57"
"Jharkhand","Onion","Jul 2020","2105.62"
"Jharkhand","Onion","Jan 2021","3800.00"
"Jharkhand","Onion","Feb 2021","4166.66"
"Jharkhand","Onion","Mar 2021","3217.19"
"Jharkhand","Onion","Apr 2021","1795.95"
"Jharkhand","Onion","May 2021","1725.09"
"Jharkhand","Onion","Jun 2021","2249.87"
"Jharkhand","Onion","Jul 2021","2800.00"
"Jharkhand","Onion","Apr 2022","1300.00"
"Jharkhand","Tomato","Oct 2016","2048.22"
"Jharkhand","Tomato","Nov 2016","2321.17"
"Jharkhand","Tomato","Dec 2016","719.42"
"Jharkhand","Tomato","Jan 2017","584.77"
"Jharkhand","Tomato","Feb 2017","657.81"
"Jharkhand","Tomato","Mar 2017","565.40"
"Jharkhand","Tomato","Apr 2017","669.79"
"Jharkhand","Tomato","May 2017","714.32"
"Jharkhand","Tomato","Jun 2017","890.57"
"Jharkhand","Tomato","Jul 2017","3400.00"
"Jharkhand","Tomato","Aug 2017","8500.00"
"Jharkhand","Tomato","Mar 2018","1953.69"
"Jharkhand","Tomato","Apr 2018","1650.00"
"Jharkhand","Tomato","May 2018","3400.00"
"Jharkhand","Tomato","Sep 2018","2311.32"
"Jharkhand","Tomato","Oct 2018","2167.35"
"Jharkhand","Tomato","Nov 2018","2295.49"
"Jharkhand","Tomato","Dec 2018","1532.34"
"Jharkhand","Tomato","Jan 2019","1377.32"
"Jharkhand","Tomato","Feb 2019","1172.04"
"Jharkhand","Tomato","Mar 2019","1725.78"
"Jharkhand","Tomato","Apr 2019","2059.83"
"Jharkhand","Tomato","May 2019","2452.38"
"Jharkhand","Tomato","Jun 2019","3400.00"
"Jharkhand","Tomato","Jul 2019","2274.94"
"Jharkhand","Tomato","Nov 2019","2450.00"
"Jharkhand","Tomato","Jun 2020","1167.09"
"Jharkhand","Tomato","Jul 2020","4817.85"
"Jharkhand","Tomato","Dec 2020","1402.93"
"Jharkhand","Tomato","Jan 2021","1324.97"
"Jharkhand","Tomato","Feb 2021","989.51"
"Jharkhand","Tomato","Mar 2021","753.56"
"Jharkhand","Tomato","Apr 2021","642.43"
"Jharkhand","Tomato","May 2021","429.22"
"Jharkhand","Tomato","Jun 2021","712.40"
"Jharkhand","Tomato","Jul 2021","1902.71"
"Jharkhand","Tomato","Aug 2021","1975.00"
"Jharkhand","Tomato","Sep 2021","1214.73"
"Jharkhand","Tomato","Oct 2021","3355.15"
"Jharkhand","Tomato","Dec 2021","2258.19"
"Jharkhand","Tomato","Jan 2022","1122.22"
"Jharkhand","Tomato","Feb 2022","940.32"
"Jharkhand","Tomato","Mar 2022","739.58"
"Jharkhand","Tomato","Apr 2022","952.52"
"Jharkhand","Tomato","Jan 2023","700.00"
"Jharkhand","Rice","Oct 2016","2546.82"
"Jharkhand","Rice","Nov 2016","2589.70"
"Jharkhand","Rice","Dec 2016","2558.62"
"Jharkhand","Rice","Jan 2017","2580.66"
"Jharkhand","Rice","Feb 2017","2578.19"
"Jharkhand","Rice","Mar 2017","2614.30"
"Jharkhand","Rice","Apr 2017","2540.90"
"Jharkhand","Rice","May 2017","2608.39"
"Jharkhand","Rice","Jun 2017","2558.75"
"Jharkhand","Rice","Jul 2017","2641.64"
"Jharkhand","Rice","Aug 2017","2735.97"
"Jharkhand","Rice","Sep 2017","2734.79"
"Jharkhand","Rice","Oct 2017","2733.44"
"Jharkhand","Rice","Nov 2017","2728.89"
"Jharkhand","Rice","Dec 2017","2733.00"
"Jharkhand","Rice","Jan 2018","2733.00"
"Jharkhand","Rice","Feb 2018","2731.62"
"Jharkhand","Rice","Mar 2018","2735.78"
"Jharkhand","Rice","Apr 2018","2733.90"
"Jharkhand","Rice","May 2018","2732.96"
"Jharkhand","Rice","Jun 2018","2731.44"
"Jharkhand","Rice","Jul 2018","2733.00"
"Jharkhand","Rice","Aug 2018","2733.18"
"Jharkhand","Rice","Sep 2018","2731.40"
"Jharkhand","Rice","Oct 2018","2956.08"
"Jharkhand","Rice","Nov 2018","3475.93"
"Jharkhand","Rice","Dec 2018","3307.03"
"Jharkhand","Rice","Jan 2019","3242.52"
"Jharkhand","Rice","Feb 2019","3193.51"
"Jharkhand","Rice","Mar 2019","3320.17"
"Jharkhand","Rice","Apr 2019","3603.77"
"Jharkhand","Rice","May 2019","3769.20"
"Jharkhand","Rice","Jun 2019","3866.31"
"Jharkhand","Rice","Jul 2019","3865.76"
"Jharkhand","Rice","Aug 2019","3865.35"
"Jharkhand","Rice","Sep 2019","3854.69"
"Jharkhand","Rice","Oct 2019","3572.51"
"Jharkhand","Rice","Nov 2019","3575.39"
"Jharkhand","Rice","Jun 2020","2219.25"
"Jharkhand","Rice","Jul 2020","2285.83"
"Jharkhand","Rice","Jan 2021","2049.48"
"Jharkhand","Rice","Feb 2021","2072.88"
"Jharkhand","Rice","Mar 2021","2072.11"
"Jharkhand","Rice","Apr 2021","2061.32"
"Jharkhand","Rice","May 2021","2060.20"
"Jharkhand","Rice","Jun 2021","2051.31"
"Jharkhand","Rice","Jul 2021","2079.95"
"Jharkhand","Wheat","Oct 2016","2067.26"
"Jharkhand","Wheat","Nov 2016","2065.86"
"Jharkhand","Wheat","Dec 2016","2120.49"
"Jharkhand","Wheat","Jan 2017","2066.68"
"Jharkhand","Wheat","Feb 2017","2045.50"
"Jharkhand","Wheat","Mar 2017","2120.62"
"Jharkhand","Wheat","Apr 2017","2010.75"
"Jharkhand","Wheat","May 2017","2035.82"
"Jharkhand","Wheat","Jun 2017","2032.88"
"Jharkhand","Wheat","Jul 2017","1940.52"
"Jharkhand","Wheat","Aug 2017","1899.21"
"Jharkhand","Wheat","Sep 2017","1961.49"
"Jharkhand","Wheat","Oct 2017","1850.25"
"Jharkhand","Wheat","Nov 2017","1822.39"
"Jharkhand","Wheat","Dec 2017","1795.21"
"Jharkhand","Wheat","Jan 2018","1835.23"
"Jharkhand","Wheat","Feb 2018","1844.35"
"Jharkhand","Wheat","Mar 2018","1847.20"
"Jharkhand","Wheat","Apr 2018","1857.89"
"Jharkhand","Wheat","May 2018","1839.56"
"Jharkhand","Wheat","Jun 2018","1847.63"
"Jharkhand","Wheat","Jul 2018","1878.18"
"Jharkhand","Wheat","Aug 2018","1844.66"
"Jharkhand","Wheat","Sep 2018","1785.49"
"Jharkhand","Wheat","Oct 2018","1811.51"
"Jharkhand","Wheat","Nov 2018","1896.76"
"Jharkhand","Wheat","Dec 2018","1836.21"
"Jharkhand","Wheat","Jan 2019","1843.87"
"Jharkhand","Wheat","Feb 2019","1788.30"
"Jharkhand","Wheat","Mar 2019","1932.87"
"Jharkhand","Wheat","Apr 2019","1998.52"
"Jharkhand","Wheat","May 2019","1973.06"
"Jharkhand","Wheat","Jun 2019","1912.76"
"Jharkhand","Wheat","Jul 2019","1917.54"
"Jharkhand","Wheat","Aug 2019","1947.49"
"Jharkhand","Wheat","Sep 2019","1977.72"
"Jharkhand","Wheat","Oct 2019","2018.58"
"Jharkhand","Wheat","Nov 2019","2012.63"
"Jharkhand","Wheat","Jun 2020","2339.53"
"Jharkhand","Wheat","Jul 2020","2470.55"
"Jharkhand","Wheat","Jan 2021","2253.55"
"Jharkhand","Wheat","Feb 2021","2321.66"
"Jharkhand","Wheat","Mar 2021","2267.38"
"Jharkhand","Wheat","Apr 2021","2260.08"
"Jharkhand","Wheat","May 2021","2238.32"
"Jharkhand","Wheat","Jun 2021","2270.00"
"Jharkhand","Wheat","Jul 2021","2220.00"
"Jharkhand","Paddy","Oct 2016","1450.68"
"Jharkhand","Paddy","Nov 2016","1460.38"
"Jharkhand","Paddy","Dec 2016","1470.00"
"Jharkhand","Paddy","Jan 2017","1470.00"
"Jharkhand","Paddy","Feb 2017","1470.00"
"Jharkhand","Paddy","Mar 2017","1470.00"
"Jharkhand","Paddy","Apr 2017","1470.00"
"Jharkhand","Paddy","May 2017","1470.00"
"Jharkhand","Paddy","Jun 2017","1516.22"
"Jharkhand","Paddy","Jul 2017","1550.00"
"Jharkhand","Paddy","Sep 2018","1656.37"
"Jharkhand","Paddy","Oct 2018","1753.57"
"Jharkhand","Paddy","Nov 2018","1750.30"
"Jharkhand","Paddy","Dec 2018","1755.31"
"Jharkhand","Paddy","Jan 2019","1755.47"
"Jharkhand","Paddy","Feb 2019","1751.99"
"Jharkhand","Paddy","Mar 2019","1750.15"
"Jharkhand","Paddy","Apr 2019","1750.00"
"Jharkhand","Paddy","May 2019","1750.00"
"Jharkhand","Paddy","Jun 2020","1752.36"
"Jharkhand","Paddy","Jul 2020","1753.00"
"Jharkhand","Paddy","Jan 2021","1750.50"
"Jharkhand","Paddy","Feb 2021","1753.00"
"Jharkhand","Paddy","Mar 2021","1753.00"
"Jharkhand","Paddy","Apr 2021","1753.00"
"Jharkhand","Paddy","May 2021","1753.00"
"Jharkhand","Paddy","Jun 2021","1753.00"
"Jharkhand","Paddy","Jul 2021","1753.00"
"Jharkhand","Potato","Oct 2016","1844.88"
"Jharkhand","Potato","Nov 2016","1734.16"
"Jharkhand","Potato","Dec 2016","1271.95"
"Jharkhand","Potato","Jan 2017","895.88"
"Jharkhand","Potato","Feb 2017","835.23"
"Jharkhand","Potato","Mar 2017","785.34"
"Jharkhand","Potato","Apr 2017","782.15"
"Jharkhand","Potato","May 2017","888.91"
"Jharkhand","Potato","Jun 2017","871.77"
"Jharkhand","Potato","Jul 2017","855.00"
"Jharkhand","Potato","Aug 2017","934.02"
"Jharkhand","Potato","Sep 2017","945.08"
"Jharkhand","Potato","Oct 2017","991.34"
"Jharkhand","Potato","Nov 2017","975.89"
"Jharkhand","Potato","Dec 2017","1008.65"
"Jharkhand","Potato","Jan 2018","1197.48"
"Jharkhand","Potato","Feb 2018","937.25"
"Jharkhand","Potato","Mar 2018","987.98"
"Jharkhand","Potato","Apr 2018","1068.90"
"Jharkhand","Potato","May 2018","1335.76"
"Jharkhand","Potato","Jun 2018","1387.48"
"Jharkhand","Potato","Jul 2018","1568.17"
"Jharkhand","Potato","Aug 2018","1421.71"
"Jharkhand","Potato","Sep 2018","2174.69"
"Jharkhand","Potato","Oct 2018","2150.42"
"Jharkhand","Potato","Nov 2018","1983.27"
"Jharkhand","Potato","Dec 2018","2149.86"
"Jharkhand","Potato","Jan 2019","1490.76"
"Jharkhand","Potato","Feb 2019","1726.57"
"Jharkhand","Potato","Mar 2019","1839.30"
"Jharkhand","Potato","Apr 2019","2178.03"
"Jharkhand","Potato","May 2019","1556.60"
"Jharkhand","Potato","Jun 2019","1347.85"
"Jharkhand","Potato","Jul 2019","1336.12"
"Jharkhand","Potato","Aug 2019","1329.68"
"Jharkhand","Potato","Sep 2019","1141.25"
"Jharkhand","Potato","Oct 2019","1211.59"
"Jharkhand","Potato","Dec 2019","2020.00"
"Jharkhand","Potato","Jun 2020","2400.00"
"Jharkhand","Potato","Jul 2020","2854.30"
"Jharkhand","Potato","Dec 2020","2304.54"
"Jharkhand","Potato","Jan 2021","1501.49"
"Jharkhand","Potato","Feb 2021","1799.78"
"Jharkhand","Potato","Mar 2021","1290.08"
"Jharkhand","Potato","Apr 2021","1294.73"
"Jharkhand","Potato","May 2021","1745.63"
"Jharkhand","Potato","Jun 2021","1803.36"
"Jharkhand","Potato","Jul 2021","1625.00"
"Jharkhand","Potato","Jan 2022","1442.25"
"Jharkhand","Potato","Feb 2022","1450.00"
"Jharkhand","Potato","Mar 2022","1525.00"
"Jharkhand","Potato","Jan 2023","1200.00"
"Jharkhand","Maize","Oct 2016","1680.08"
"Jharkhand","Maize","Nov 2016","1955.87"
"Jharkhand","Maize","Dec 2016","1886.57"
"Jharkhand","Maize","Jan 2017","1920.96"
"Jharkhand","Maize","Feb 2017","1931.72"
"Jharkhand","Maize","Mar 2017","1978.38"
"Jharkhand","Maize","Apr 2017","1922.57"
"Jharkhand","Maize","May 2017","2003.52"
"Jharkhand","Maize","Jun 2017","1998.44"
"Jharkhand","Maize","Jul 2017","1870.52"
"Jharkhand","Maize","Aug 2017","1742.22"
"Jharkhand","Maize","Sep 2017","1676.43"
"Jharkhand","Maize","Oct 2017","1682.22"
"Jharkhand","Maize","Nov 2017","1667.41"
"Jharkhand","Maize","Dec 2017","1665.44"
"Jharkhand","Maize","Jan 2018","1630.38"
"Jharkhand","Maize","Feb 2018","1644.08"
"Jharkhand","Maize","Mar 2018","1632.57"
"Jharkhand","Maize","Apr 2018","1622.88"
"Jharkhand","Maize","Sep 2018","1514.36"
"Jharkhand","Maize","Oct 2018","1724.16"
"Jharkhand","Maize","Nov 2018","1750.00"
"Jharkhand","Maize","Dec 2018","1750.00"
"Jharkhand","Maize","Jan 2019","1701.93"
"Jharkhand","Maize","Feb 2019","1746.17"
"Jharkhand","Maize","Mar 2019","1730.72"
"Jharkhand","Maize","May 2019","1720.00"
"Jharkhand","Maize","Jun 2019","1704.25"
"Jharkhand","Maize","Jul 2019","1701.59"
"Jharkhand","Maize","Feb 2020","1760.00"
"Jharkhand","Maize","Jun 2020","1807.03"
"Jharkhand","Maize","Jul 2020","1789.90"
"Jharkhand","Maize","Jan 2021","1700.00"
"Jharkhand","Maize","Feb 2021","1700.00"
"Jharkhand","Maize","Mar 2021","1700.00"
"Jharkhand","Maize","Apr 2021","1700.00"
"Jharkhand","Maize","May 2021","1707.04"
"Jharkhand","Maize","Jun 2021","1700.00"
"Jharkhand","Maize","Jul 2021","1700.00"
"Jharkhand","Tur","Oct 2016","12226.49"
"Jharkhand","Tur","Nov 2016","12302.10"
"Jharkhand","Tur","Dec 2016","12097.11"
"Jharkhand","Tur","Jan 2017","12372.75"
"Jharkhand","Tur","Feb 2017","11537.98"
"Jharkhand","Tur","Mar 2017","10724.94"
"Jharkhand","Tur","Apr 2017","7586.13"
"Jharkhand","Tur","May 2017","7186.49"
"Jharkhand","Tur","Jun 2017","6931.46"
"Jharkhand","Tur","Jul 2017","6163.23"
"Jharkhand","Tur","Aug 2017","6800.00"
"Jharkhand","Tur","Sep 2018","5586.94"
"Jharkhand","Tur","Oct 2018","5711.50"
"Jharkhand","Tur","Nov 2018","5676.91"
"Jharkhand","Tur","Dec 2018","5676.79"
"Jharkhand","Tur","Jan 2019","5684.39"
"Jharkhand","Tur","Feb 2019","5679.04"
"Jharkhand","Tur","Mar 2019","5680.20"
"Jharkhand","Tur","Apr 2019","5675.00"
"Jharkhand","Tur","May 2019","5668.78"
"Jharkhand","Tur","Jun 2019","5676.10"
"Jharkhand","Tur","Oct 2019","5680.00"
"Jharkhand","Tur","Feb 2020","5675.00"
"Jharkhand","Tur","Jun 2020","8902.82"
"Jharkhand","Tur","Jul 2020","9122.77"
"Jharkhand","Tur","Jan 2021","8263.88"
"Jharkhand","Tur","Feb 2021","9450.86"
"Jharkhand","Tur","Mar 2021","9910.08"
"Jharkhand","Tur","Apr 2021","9982.79"
"Jharkhand","Tur","May 2021","10625.15"
"Jharkhand","Tur","Jun 2021","10056.56"
"Jharkhand","Tur","Jul 2021","9547.67"
"Jharkhand","Moong","Oct 2016","7567.44"
"Jharkhand","Moong","Nov 2016","7707.89"
"Jharkhand","Moong","Dec 2016","7051.34"
"Jharkhand","Moong","Jan 2017","6773.91"
"Jharkhand","Moong","Feb 2017","6663.01"
"Jharkhand","Moong","Mar 2017","6764.75"
"Jharkhand","Moong","Apr 2017","7134.65"
"Jharkhand","Moong","May 2017","7060.31"
"Jharkhand","Moong","Jun 2017","6642.50"
"Jharkhand","Moong","Jul 2017","6340.70"
"Jharkhand","Wheat Atta","Oct 2016","2186.81"
"Jharkhand","Wheat Atta","Nov 2016","2342.30"
"Jharkhand","Wheat Atta","Dec 2016","2319.32"
"Jharkhand","Wheat Atta","Jan 2017","2362.80"
"Jharkhand","Wheat Atta","Feb 2017","2347.12"
"Jharkhand","Wheat Atta","Mar 2017","2314.63"
"Jharkhand","Wheat Atta","Apr 2017","2403.70"
"Jharkhand","Wheat Atta","May 2017","2411.11"
"Jharkhand","Wheat Atta","Jun 2017","2251.83"
"Jharkhand","Wheat Atta","Jul 2017","2332.30"
"Jharkhand","Wheat Atta","Aug 2017","2461.83"
"Jharkhand","Wheat Atta","Sep 2018","2502.60"
"Jharkhand","Wheat Atta","Oct 2018","2600.00"
"Jharkhand","Wheat Atta","Nov 2018","2863.73"
"Jharkhand","Wheat Atta","Dec 2018","2560.31"
"Jharkhand","Wheat Atta","Jan 2019","2487.78"
"Jharkhand","Wheat Atta","Feb 2019","2600.00"
"Jharkhand","Wheat Atta","Mar 2019","2500.00"
"Jharkhand","Wheat Atta","Apr 2019","2440.00"
"Jharkhand","Wheat Atta","May 2019","2400.00"
"Jharkhand","Wheat Atta","Jun 2019","2700.00"
"Jharkhand","Wheat Atta","Jun 2020","2900.00"
"Jharkhand","Wheat Atta","Jul 2020","3033.78"
"Jharkhand","Wheat Atta","Jan 2021","2500.00"
"Jharkhand","Wheat Atta","Feb 2021","2388.25"
"Jharkhand","Wheat Atta","Mar 2021","2485.64"
"Jharkhand","Wheat Atta","Apr 2021","2500.00"
"Jharkhand","Wheat Atta","May 2021","2500.00"
"Jharkhand","Wheat Atta","Jun 2021","2500.00"
"Jharkhand","Wheat Atta","Jul 2021","2500.00"
