"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"Karnataka","Onion","Oct 2016","654.37"
"Karnataka","Onion","Nov 2016","787.96"
"Karnataka","Onion","Dec 2016","780.58"
"Karnataka","Onion","Jan 2017","713.80"
"Karnataka","Onion","Feb 2017","743.49"
"Karnataka","Onion","Mar 2017","725.84"
"Karnataka","Onion","Apr 2017","680.10"
"Karnataka","Onion","May 2017","628.83"
"Karnataka","Onion","Jun 2017","830.80"
"Karnataka","Onion","Jul 2017","843.93"
"Karnataka","Onion","Aug 2017","1888.06"
"Karnataka","Onion","Sep 2017","1507.81"
"Karnataka","Onion","Oct 2017","2044.75"
"Karnataka","Onion","Nov 2017","2760.64"
"Karnataka","Onion","Dec 2017","2906.60"
"Karnataka","Onion","Jan 2018","2661.93"
"Karnataka","Onion","Feb 2018","1550.73"
"Karnataka","Onion","Mar 2018","907.48"
"Karnataka","Onion","Apr 2018","720.24"
"Karnataka","Onion","May 2018","711.66"
"Karnataka","Onion","Jun 2018","928.11"
"Karnataka","Onion","Jul 2018","1145.00"
"Karnataka","Onion","Aug 2018","1116.77"
"Karnataka","Onion","Sep 2018","905.92"
"Karnataka","Onion","Oct 2018","1040.45"
"Karnataka","Onion","Nov 2018","1013.49"
"Karnataka","Onion","Dec 2018","676.49"
"Karnataka","Onion","Jan 2019","704.75"
"Karnataka","Onion","Feb 2019","655.92"
"Karnataka","Onion","Mar 2019","706.51"
"Karnataka","Onion","Apr 2019","784.17"
"Karnataka","Onion","May 2019","931.75"
"Karnataka","Onion","Jun 2019","1191.97"
"Karnataka","Onion","Jul 2019","2631.85"
"Karnataka","Onion","Aug 2019","1752.76"
"Karnataka","Onion","Sep 2019","2781.71"
"Karnataka","Onion","Oct 2019","2420.48"
"Karnataka","Onion","Nov 2019","4136.94"
"Karnataka","Onion","Dec 2019","7576.15"
"Karnataka","Onion","Jan 2020","3307.50"
"Karnataka","Onion","Feb 2020","1866.44"
"Karnataka","Onion","Mar 2020","1509.72"
"Karnataka","Onion","Apr 2020","1206.52"
"Karnataka","Onion","May 2020","769.49"
"Karnataka","Onion","Jun 2020","909.37"
"Karnataka","Onion","Jul 2020","893.55"
"Karnataka","Onion","Aug 2020","1123.22"
"Karnataka","Onion","Sep 2020","1967.00"
"Karnataka","Onion","Oct 2020","3844.54"
"Karnataka","Onion","Nov 2020","3924.95"
"Karnataka","Onion","Dec 2020","2475.69"
"Karnataka","Onion","Jan 2021","2428.54"
"Karnataka","Onion","Feb 2021","3199.49"
"Karnataka","Onion","Mar 2021","1456.33"
"Karnataka","Onion","Apr 2021","973.29"
"Karnataka","Onion","May 2021","1143.20"
"Karnataka","Onion","Jun 2021","1708.33"
"Karnataka","Onion","Jul 2021","1771.01"
"Karnataka","Onion","Aug 2021","1557.57"
"Karnataka","Onion","Sep 2021","1341.30"
"Karnataka","Onion","Oct 2021","2212.78"
"Karnataka","Onion","Nov 2021","2088.89"
"Karnataka","Onion","Dec 2021","2088.66"
"Karnataka","Onion","Jan 2022","2001.95"
"Karnataka","Onion","Feb 2022","1996.43"
"Karnataka","Onion","Mar 2022","1286.37"
"Karnataka","Onion","Apr 2022","1028.52"
"Karnataka","Onion","May 2022","972.10"
"Karnataka","Onion","Jun 2022","1250.07"
"Karnataka","Onion","Jul 2022","1303.54"
"Karnataka","Onion","Aug 2022","1127.82"
"Karnataka","Onion","Sep 2022","1087.51"
"Karnataka","Onion","Oct 2022","1454.69"
"Karnataka","Onion","Nov 2022","1819.89"
"Karnataka","Onion","Dec 2022","1467.78"
"Karnataka","Onion","Jan 2023","1364.55"
"Karnataka","Onion","Feb 2023","1001.24"
"Karnataka","Onion","Mar 2023","1019.33"
"Karnataka","Onion","Apr 2023","898.08"
"Karnataka","Onion","May 2023","840.62"
"Karnataka","Onion","Jun 2023","1104.49"
