"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"Madhya Pradesh","Potato","Oct 2016","918.01"
"Madhya Pradesh","Potato","Nov 2016","732.60"
"Madhya Pradesh","Potato","Dec 2016","464.79"
"Madhya Pradesh","Potato","Jan 2017","456.47"
"Madhya Pradesh","Potato","Feb 2017","401.48"
"Madhya Pradesh","Potato","Mar 2017","362.70"
"Madhya Pradesh","Potato","Apr 2017","389.71"
"Madhya Pradesh","Potato","May 2017","387.82"
"Madhya Pradesh","Potato","Jun 2017","483.24"
"Madhya Pradesh","Potato","Jul 2017","435.47"
"Madhya Pradesh","Potato","Aug 2017","454.81"
"Madhya Pradesh","Potato","Sep 2017","417.54"
"Madhya Pradesh","Potato","Oct 2017","365.06"
"Madhya Pradesh","Potato","Nov 2017","423.18"
"Madhya Pradesh","Potato","Dec 2017","397.12"
"Madhya Pradesh","Potato","Jan 2018","528.86"
"Madhya Pradesh","Potato","Feb 2018","598.67"
"Madhya Pradesh","Potato","Mar 2018","730.02"
"Madhya Pradesh","Potato","Apr 2018","1004.79"
"Madhya Pradesh","Potato","May 2018","1075.32"
"Madhya Pradesh","Potato","Jun 2018","1065.53"
"Madhya Pradesh","Potato","Jul 2018","1057.33"
"Madhya Pradesh","Potato","Aug 2018","999.70"
"Madhya Pradesh","Potato","Sep 2018","1010.93"
"Madhya Pradesh","Potato","Oct 2018","1042.84"
"Madhya Pradesh","Potato","Nov 2018","1051.58"
"Madhya Pradesh","Potato","Dec 2018","716.98"
"Madhya Pradesh","Potato","Jan 2019","666.12"
"Madhya Pradesh","Potato","Feb 2019","680.47"
"Madhya Pradesh","Potato","Mar 2019","691.09"
"Madhya Pradesh","Potato","Apr 2019","740.27"
"Madhya Pradesh","Potato","May 2019","780.38"
"Madhya Pradesh","Potato","Jun 2019","707.92"
"Madhya Pradesh","Potato","Jul 2019","726.82"
"Madhya Pradesh","Potato","Aug 2019","692.50"
"Madhya Pradesh","Potato","Sep 2019","744.90"
"Madhya Pradesh","Potato","Oct 2019","810.37"
"Madhya Pradesh","Potato","Nov 2019","968.30"
"Madhya Pradesh","Potato","Dec 2019","1144.01"
"Madhya Pradesh","Potato","Jan 2020","1150.26"
"Madhya Pradesh","Potato","Feb 2020","941.55"
"Madhya Pradesh","Potato","Mar 2020","1044.12"
"Madhya Pradesh","Potato","Apr 2020","1455.06"
"Madhya Pradesh","Potato","May 2020","1356.70"
"Madhya Pradesh","Potato","Jun 2020","1463.60"
"Madhya Pradesh","Potato","Jul 2020","1604.89"
"Madhya Pradesh","Potato","Aug 2020","2000.92"
"Madhya Pradesh","Potato","Sep 2020","2355.05"
"Madhya Pradesh","Potato","Oct 2020","2706.91"
"Madhya Pradesh","Potato","Nov 2020","2770.00"
"Madhya Pradesh","Potato","Dec 2020","1841.66"
"Madhya Pradesh","Potato","Jan 2021","896.78"
"Madhya Pradesh","Potato","Feb 2021","741.23"
"Madhya Pradesh","Potato","Mar 2021","805.63"
"Madhya Pradesh","Potato","Apr 2021","950.60"
