"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"Maharashtra","Lentil","Oct 2016","6534.93"
"Maharashtra","Lentil","Nov 2016","6548.81"
"Maharashtra","Lentil","Dec 2016","7068.31"
"Maharashtra","Lentil","Jan 2017","7115.70"
"Maharashtra","Lentil","Feb 2017","6594.01"
"Maharashtra","Lentil","Mar 2017","5763.92"
"Maharashtra","Lentil","Apr 2017","6303.41"
"Maharashtra","Lentil","May 2017","5708.17"
"Maharashtra","Lentil","Jun 2017","5128.97"
"Maharashtra","Lentil","Jul 2017","5336.47"
"Maharashtra","Lentil","Aug 2017","5240.96"
"Maharashtra","Lentil","Sep 2017","5714.06"
"Maharashtra","Lentil","Oct 2017","5118.42"
"Maharashtra","Lentil","Nov 2017","4976.41"
"Maharashtra","Lentil","Dec 2017","5056.46"
"Maharashtra","Lentil","Jan 2018","5643.75"
"Maharashtra","Lentil","Feb 2018","5876.50"
"Maharashtra","Lentil","Mar 2018","5683.58"
"Maharashtra","Lentil","Apr 2018","4503.86"
"Maharashtra","Lentil","May 2018","4381.72"
"Maharashtra","Lentil","Jun 2018","4719.57"
"Maharashtra","Lentil","Jul 2018","4758.80"
"Maharashtra","Lentil","Aug 2018","5324.75"
"Maharashtra","Lentil","Sep 2018","4744.96"
"Maharashtra","Lentil","Oct 2018","4773.06"
"Maharashtra","Lentil","Nov 2018","4866.48"
"Maharashtra","Lentil","Dec 2018","4789.09"
"Maharashtra","Lentil","Jan 2019","4824.38"
"Maharashtra","Lentil","Feb 2019","4800.00"
"Maharashtra","Lentil","Mar 2019","3100.25"
"Maharashtra","Lentil","May 2019","3194.00"
"Maharashtra","Lentil","Jun 2019","4800.00"
"Maharashtra","Lentil","Jul 2019","4804.67"
"Maharashtra","Lentil","Aug 2019","4978.71"
"Maharashtra","Lentil","Sep 2019","4921.52"
"Maharashtra","Lentil","Oct 2019","4820.81"
"Maharashtra","Lentil","Nov 2019","4881.01"
"Maharashtra","Lentil","Dec 2019","4937.10"
"Maharashtra","Lentil","Jan 2020","5145.96"
"Maharashtra","Lentil","Feb 2020","5439.72"
"Maharashtra","Lentil","Mar 2020","5354.65"
"Maharashtra","Lentil","Apr 2020","6441.49"
"Maharashtra","Lentil","May 2020","5479.49"
"Maharashtra","Lentil","Jun 2020","6342.85"
"Maharashtra","Lentil","Jul 2020","6269.57"
"Maharashtra","Lentil","Aug 2020","6314.30"
"Maharashtra","Lentil","Sep 2020","6236.85"
"Maharashtra","Lentil","Oct 2020","5991.96"
"Maharashtra","Lentil","Nov 2020","6054.22"
"Maharashtra","Lentil","Dec 2020","5966.04"
"Maharashtra","Lentil","Jan 2021","6113.80"
"Maharashtra","Lentil","Feb 2021","6074.02"
"Maharashtra","Lentil","Mar 2021","6178.30"
"Maharashtra","Lentil","Apr 2021","6497.80"
"Maharashtra","Lentil","May 2021","6856.74"
"Maharashtra","Lentil","Jun 2021","6936.04"
"Maharashtra","Lentil","Jul 2021","7083.26"
"Maharashtra","Lentil","Aug 2021","6995.79"
"Maharashtra","Lentil","Sep 2021","7442.53"
"Maharashtra","Lentil","Oct 2021","7699.70"
"Maharashtra","Lentil","Nov 2021","7897.13"
"Maharashtra","Lentil","Dec 2021","7927.01"
"Maharashtra","Lentil","Jan 2022","7738.47"
"Maharashtra","Lentil","Feb 2022","7854.70"
"Maharashtra","Lentil","Mar 2022","7553.27"
"Maharashtra","Lentil","Apr 2022","7705.05"
"Maharashtra","Lentil","May 2022","7840.83"
"Maharashtra","Lentil","Jun 2022","7848.00"
"Maharashtra","Lentil","Jul 2022","7849.01"
"Maharashtra","Lentil","Aug 2022","7858.18"
"Maharashtra","Lentil","Sep 2022","7184.11"
"Maharashtra","Lentil","Oct 2022","7388.06"
"Maharashtra","Lentil","Nov 2022","7570.17"
"Maharashtra","Lentil","Dec 2022","7514.09"
"Maharashtra","Lentil","Jan 2023","7476.74"
"Maharashtra","Lentil","Feb 2023","7350.43"
"Maharashtra","Lentil","Mar 2023","7231.86"
"Maharashtra","Lentil","Apr 2023","7143.64"
"Maharashtra","Lentil","May 2023","7189.48"
"Maharashtra","Lentil","Jun 2023","7198.23"
"Maharashtra","Lentil","Jul 2023","7179.49"
"Maharashtra","Lentil","Aug 2023","7191.32"
"Maharashtra","Lentil","Sep 2023","7372.28"
"Maharashtra","Lentil","Oct 2023","7504.10"
"Maharashtra","Lentil","Nov 2023","7461.59"
"Maharashtra","Lentil","Dec 2023","7107.42"
"Maharashtra","Lentil","Jan 2024","7022.76"
"Maharashtra","Lentil","Feb 2024","7130.82"
"Maharashtra","Lentil","Mar 2024","7068.87"
"Maharashtra","Lentil","Apr 2024","7359.46"
"Maharashtra","Lentil","May 2024","7447.73"
"Maharashtra","Lentil","Jun 2024","7564.73"
"Maharashtra","Lentil","Jul 2024","7358.21"
"Maharashtra","Lentil","Aug 2024","7220.43"
"Maharashtra","Lentil","Sep 2024","7045.83"
"Maharashtra","Lentil","Oct 2024","7150.36"
"Maharashtra","Lentil","Nov 2024","7392.35"
"Maharashtra","Lentil","Dec 2024","7014.47"
"Maharashtra","Lentil","Jan 2025","7440.49"
"Maharashtra","Lentil","Feb 2025","8049.18"
"Maharashtra","Lentil","Mar 2025","8060.69"
"Maharashtra","Lentil","Apr 2025","7989.08"
"Maharashtra","Lentil","May 2025","7458.32"
"Maharashtra","Lentil","Jun 2025","7448.09"
"Maharashtra","Lentil","Jul 2025","7497.64"
"Maharashtra","Lentil","Aug 2025","7524.88"
"Maharashtra","Lentil","Sep 2025","7527.04"
"Maharashtra","Lentil","Oct 2025","7440.33"
"Maharashtra","Lentil","Nov 2025","7603.87"
"Maharashtra","Lentil","Dec 2025","8448.61"
"Maharashtra","Lentil","Jan 2026","8093.95"
"Maharashtra","Lentil","Feb 2026","8509.23"
"Maharashtra","Lentil","Mar 2026","8585.01"
"Maharashtra","Lentil","Apr 2026","8779.38"
"Maharashtra","Lentil","May 2026","8702.76"
"Maharashtra","Lentil","Jun 2026","8356.92"
"Maharashtra","Lentil","Jul 2026","7530.69"
"Maharashtra","Lentil","Aug 2026","6498.29"
"Maharashtra","Lentil","Sep 2026","7114.25"
"Maharashtra","Onion","Oct 2016","614.84"
"Maharashtra","Onion","Nov 2016","856.90"
"Maharashtra","Onion","Dec 2016","698.72"
"Maharashtra","Onion","Jan 2017","593.80"
"Maharashtra","Onion","Feb 2017","500.80"
"Maharashtra","Onion","Mar 2017","528.32"
"Maharashtra","Onion","Apr 2017","509.14"
"Maharashtra","Onion","May 2017","435.91"
"Maharashtra","Onion","Jun 2017","551.15"
"Maharashtra","Onion","Jul 2017","728.18"
"Maharashtra","Onion","Aug 2017","1901.23"
"Maharashtra","Onion","Sep 2017","1450.95"
"Maharashtra","Onion","Oct 2017","2101.41"
"Maharashtra","Onion","Nov 2017","2734.18"
"Maharashtra","Onion","Dec 2017","2680.67"
"Maharashtra","Onion","Jan 2018","2486.77"
"Maharashtra","Onion","Feb 2018","1417.57"
"Maharashtra","Onion","Mar 2018","799.27"
"Maharashtra","Onion","Apr 2018","646.85"
"Maharashtra","Onion","May 2018","637.44"
"Maharashtra","Onion","Jun 2018","912.40"
"Maharashtra","Onion","Jul 2018","1068.92"
"Maharashtra","Onion","Aug 2018","941.13"
"Maharashtra","Onion","Sep 2018","780.11"
"Maharashtra","Onion","Oct 2018","1132.78"
"Maharashtra","Onion","Nov 2018","917.38"
"Maharashtra","Onion","Dec 2018","646.73"
"Maharashtra","Onion","Jan 2019","526.43"
"Maharashtra","Onion","Feb 2019","424.87"
"Maharashtra","Onion","Mar 2019","547.55"
"Maharashtra","Onion","Apr 2019","747.84"
"Maharashtra","Onion","May 2019","860.95"
"Maharashtra","Onion","Jun 2019","1141.52"
"Maharashtra","Onion","Jul 2019","1197.70"
"Maharashtra","Onion","Aug 2019","1801.54"
"Maharashtra","Onion","Sep 2019","2900.22"
"Maharashtra","Onion","Oct 2019","2725.71"
"Maharashtra","Onion","Nov 2019","4261.32"
"Maharashtra","Onion","Dec 2019","5300.05"
"Maharashtra","Onion","Jan 2020","2976.69"
"Maharashtra","Onion","Feb 2020","1727.35"
"Maharashtra","Onion","Mar 2020","1384.37"
"Maharashtra","Onion","Apr 2020","988.25"
"Maharashtra","Onion","May 2020","652.01"
"Maharashtra","Onion","Jun 2020","744.24"
"Maharashtra","Onion","Jul 2020","680.08"
"Maharashtra","Onion","Aug 2020","1045.45"
"Maharashtra","Onion","Sep 2020","2416.31"
"Maharashtra","Onion","Oct 2020","3375.59"
"Maharashtra","Onion","Nov 2020","3559.62"
"Maharashtra","Onion","Dec 2020","2183.70"
"Maharashtra","Onion","Jan 2021","2403.14"
"Maharashtra","Onion","Feb 2021","3004.62"
"Maharashtra","Onion","Mar 2021","1296.29"
"Maharashtra","Onion","Apr 2021","875.88"
"Maharashtra","Onion","May 2021","1157.12"
"Maharashtra","Onion","Jun 2021","1640.51"
"Maharashtra","Onion","Jul 2021","1556.09"
"Maharashtra","Onion","Aug 2021","1462.31"
"Maharashtra","Onion","Sep 2021","1519.47"
"Maharashtra","Onion","Oct 2021","2587.97"
"Maharashtra","Onion","Nov 2021","2056.50"
"Maharashtra","Onion","Dec 2021","1994.45"
"Maharashtra","Onion","Jan 2022","1975.76"
"Maharashtra","Onion","Feb 2022","2036.63"
"Maharashtra","Onion","Mar 2022","1106.90"
"Maharashtra","Onion","Apr 2022","805.77"
"Maharashtra","Onion","May 2022","829.51"
"Maharashtra","Onion","Jun 2022","1150.65"
"Maharashtra","Onion","Jul 2022","1141.22"
"Maharashtra","Onion","Aug 2022","1099.00"
"Maharashtra","Onion","Sep 2022","1104.22"
"Maharashtra","Onion","Oct 2022","1767.67"
"Maharashtra","Onion","Nov 2022","1785.08"
"Maharashtra","Onion","Dec 2022","1318.22"
"Maharashtra","Onion","Jan 2023","1232.44"
"Maharashtra","Onion","Feb 2023","827.46"
"Maharashtra","Onion","Mar 2023","731.03"
"Maharashtra","Onion","Apr 2023","616.97"
"Maharashtra","Onion","May 2023","686.57"
"Maharashtra","Onion","Jun 2023","901.38"
"Maharashtra","Onion","Jul 2023","1212.45"
"Maharashtra","Onion","Aug 2023","1716.08"
"Maharashtra","Onion","Sep 2023","1858.85"
"Maharashtra","Onion","Oct 2023","2787.90"
"Maharashtra","Onion","Nov 2023","3351.46"
"Maharashtra","Onion","Dec 2023","2066.66"
"Maharashtra","Onion","Jan 2024","1431.68"
"Maharashtra","Onion","Feb 2024","1261.90"
"Maharashtra","Onion","Mar 2024","1348.48"
"Maharashtra","Onion","Apr 2024","1202.63"
"Maharashtra","Onion","May 2024","1467.59"
"Maharashtra","Onion","Jun 2024","2373.87"
"Maharashtra","Onion","Jul 2024","2597.43"
"Maharashtra","Onion","Aug 2024","3210.20"
"Maharashtra","Onion","Sep 2024","3861.51"
"Maharashtra","Onion","Oct 2024","3396.33"
"Maharashtra","Onion","Nov 2024","3724.57"
"Maharashtra","Onion","Dec 2024","2666.72"
"Maharashtra","Onion","Jan 2025","2075.34"
"Maharashtra","Onion","Feb 2025","2129.38"
"Maharashtra","Onion","Mar 2025","1514.77"
"Maharashtra","Onion","Apr 2025","1073.11"
"Maharashtra","Onion","May 2025","1071.88"
"Maharashtra","Onion","Jun 2025","1358.77"
"Maharashtra","Onion","Jul 2025","1264.17"
"Maharashtra","Onion","Aug 2025","1257.31"
"Maharashtra","Onion","Sep 2025","1096.98"
"Maharashtra","Onion","Oct 2025","1109.65"
"Maharashtra","Onion","Nov 2025","1205.79"
"Maharashtra","Onion","Dec 2025","1518.41"
"Maharashtra","Onion","Jan 2026","1276.94"
"Maharashtra","Onion","Feb 2026","988.99"
"Maharashtra","Onion","Mar 2026","838.54"
"Maharashtra","Onion","Apr 2026","915.94"
"Maharashtra","Onion","May 2026","997.37"
"Maharashtra","Onion","Jun 2026","1491.21"
"Maharashtra","Onion","Jul 2026","1975.26"
"Maharashtra","Onion","Aug 2026","2564.35"
"Maharashtra","Onion","Sep 2026","3974.60"
"Maharashtra","Tomato","Oct 2016","956.68"
"Maharashtra","Tomato","Nov 2016","528.35"
"Maharashtra","Tomato","Dec 2016","315.18"
"Maharashtra","Tomato","Jan 2017","486.69"
"Maharashtra","Tomato","Feb 2017","752.72"
"Maharashtra","Tomato","Mar 2017","1065.49"
"Maharashtra","Tomato","Apr 2017","1196.28"
"Maharashtra","Tomato","May 2017","767.26"
"Maharashtra","Tomato","Jun 2017","1270.00"
"Maharashtra","Tomato","Jul 2017","4239.67"
"Maharashtra","Tomato","Aug 2017","2922.24"
"Maharashtra","Tomato","Sep 2017","1266.69"
"Maharashtra","Tomato","Oct 2017","1785.04"
"Maharashtra","Tomato","Nov 2017","2675.39"
"Maharashtra","Tomato","Dec 2017","1163.24"
"Maharashtra","Tomato","Jan 2018","575.11"
"Maharashtra","Tomato","Feb 2018","532.42"
"Maharashtra","Tomato","Mar 2018","502.68"
"Maharashtra","Tomato","Apr 2018","687.85"
"Maharashtra","Tomato","May 2018","638.81"
"Maharashtra","Tomato","Jun 2018","1273.55"
"Maharashtra","Tomato","Jul 2018","1469.21"
"Maharashtra","Tomato","Aug 2018","883.42"
"Maharashtra","Tomato","Sep 2018","587.47"
"Maharashtra","Tomato","Oct 2018","762.25"
"Maharashtra","Tomato","Nov 2018","578.02"
"Maharashtra","Tomato","Dec 2018","751.62"
"Maharashtra","Tomato","Jan 2019","1239.21"
"Maharashtra","Tomato","Feb 2019","1157.51"
"Maharashtra","Tomato","Mar 2019","1385.91"
"Maharashtra","Tomato","Apr 2019","1069.36"
"Maharashtra","Tomato","May 2019","1582.61"
"Maharashtra","Tomato","Jun 2019","1729.27"
