"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"Manipur","Gram","Oct 2016","9727.24"
"Manipur","Gram","Nov 2016","10591.47"
"Manipur","Gram","Dec 2016","11637.75"
"Manipur","Gram","Jan 2017","11495.65"
"Manipur","Gram","Feb 2017","11353.26"
"Manipur","Gram","Mar 2017","10712.01"
"Manipur","Gram","Apr 2017","9870.73"
"Manipur","Gram","May 2017","9580.19"
"Manipur","Gram","Jun 2017","9318.80"
"Manipur","Gram","Jul 2017","8700.52"
"Manipur","Gram","Aug 2017","8646.40"
"Manipur","Gram","Sep 2017","8711.82"
"Manipur","Gram","Oct 2017","9291.90"
"Manipur","Gram","Nov 2017","9401.16"
"Manipur","Gram","Dec 2017","9177.53"
"Manipur","Gram","Jan 2018","8445.86"
"Manipur","Gram","Feb 2018","8473.39"
"Manipur","Gram","Mar 2018","8421.70"
"Manipur","Gram","Apr 2018","7807.60"
"Manipur","Gram","May 2018","7163.27"
"Manipur","Gram","Jun 2018","7007.69"
"Manipur","Gram","Jul 2018","6624.27"
"Manipur","Gram","Aug 2018","6279.83"
"Manipur","Gram","Sep 2018","6221.80"
"Manipur","Gram","Oct 2018","6262.90"
"Manipur","Gram","Nov 2018","6226.34"
"Manipur","Gram","Dec 2018","6224.18"
"Manipur","Gram","Jan 2019","6293.47"
"Manipur","Gram","Feb 2019","6284.66"
"Manipur","Gram","Mar 2019","6278.33"
"Manipur","Gram","Apr 2019","6287.57"
"Manipur","Gram","May 2019","6308.43"
"Manipur","Gram","Jun 2019","6227.87"
"Manipur","Gram","Jul 2019","6287.03"
"Manipur","Gram","Aug 2019","6290.07"
"Manipur","Gram","Sep 2019","6323.33"
"Manipur","Gram","Dec 2019","5950.72"
"Manipur","Gram","Feb 2021","7588.62"
"Manipur","Gram","Jan 2022","8348.04"
"Manipur","Gram","Feb 2022","8369.03"
"Manipur","Gram","Mar 2022","8390.57"
"Manipur","Gram","Apr 2022","8205.39"
"Manipur","Gram","Sep 2022","6810.28"
"Manipur","Gram","Oct 2022","6919.23"
"Manipur","Gram","Nov 2022","6853.51"
"Manipur","Gram","Dec 2022","6844.85"
"Manipur","Gram","Jan 2023","6834.84"
"Manipur","Gram","Feb 2023","6804.54"
"Manipur","Gram","Mar 2023","7018.28"
"Manipur","Gram","Apr 2023","6808.13"
"Manipur","Gram","May 2023","6792.27"
"Manipur","Gram","Jul 2023","6835.17"
"Manipur","Gram","Aug 2023","6839.19"
"Manipur","Gram","Sep 2023","6867.24"
"Manipur","Gram","Oct 2023","7546.28"
"Manipur","Gram","Nov 2023","7548.83"
"Manipur","Gram","Dec 2023","7547.90"
"Manipur","Gram","Feb 2024","7547.43"
"Manipur","Gram","Mar 2024","7543.43"
"Manipur","Gram","Apr 2024","7543.09"
"Manipur","Gram","May 2024","7549.43"
"Manipur","Gram","Jun 2024","7668.14"
"Manipur","Gram","Jul 2024","7693.50"
"Manipur","Gram","Aug 2024","8128.78"
"Manipur","Gram","Sep 2024","7708.73"
"Manipur","Gram","Oct 2024","7697.57"
"Manipur","Gram","Nov 2024","7715.66"
"Manipur","Gram","Dec 2024","7865.23"
"Manipur","Gram","Jan 2025","7874.13"
"Manipur","Gram","Feb 2025","7878.39"
"Manipur","Gram","Mar 2025","7847.96"
"Manipur","Gram","Apr 2025","7876.43"
"Manipur","Gram","May 2025","7895.41"
"Manipur","Gram","Jun 2025","7871.71"
"Manipur","Gram","Jul 2025","7972.22"
"Manipur","Gram","Aug 2025","7873.15"
"Manipur","Gram","Sep 2025","7863.93"
"Manipur","Gram","Oct 2025","7864.29"
"Manipur","Gram","Nov 2025","7895.74"
"Manipur","Gram","Dec 2025","8002.66"
"Manipur","Gram","Jan 2026","8427.83"
"Manipur","Gram","Feb 2026","8708.02"
"Manipur","Gram","Mar 2026","7311.24"
