"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"Meghalaya","Onion","Oct 2016","2490.74"
"Meghalaya","Onion","Nov 2016","2816.66"
"Meghalaya","Onion","Dec 2016","2750.00"
"Meghalaya","Onion","Jan 2017","2775.00"
"Meghalaya","Onion","Feb 2017","2812.90"
"Meghalaya","Onion","Mar 2017","2666.66"
"Meghalaya","Onion","Apr 2017","2459.32"
"Meghalaya","Onion","May 2017","2421.72"
"Meghalaya","Onion","Jun 2017","2200.00"
"Meghalaya","Onion","Jul 2017","2500.00"
"Meghalaya","Onion","Aug 2017","3242.42"
"Meghalaya","Onion","Sep 2017","3750.00"
"Meghalaya","Onion","Oct 2017","3885.59"
"Meghalaya","Onion","Nov 2017","5323.52"
"Meghalaya","Onion","Dec 2017","5500.00"
"Meghalaya","Onion","Jan 2018","5500.00"
"Meghalaya","Onion","Feb 2018","5500.00"
"Meghalaya","Onion","Mar 2018","5100.00"
"Meghalaya","Onion","Apr 2018","3194.44"
"Meghalaya","Onion","May 2018","3419.64"
"Meghalaya","Onion","Jun 2018","2825.00"
"Meghalaya","Onion","Jul 2018","3441.87"
"Meghalaya","Onion","Aug 2018","2813.35"
"Meghalaya","Onion","Sep 2018","2764.42"
"Meghalaya","Onion","Oct 2018","3090.00"
"Meghalaya","Onion","Nov 2018","2611.15"
"Meghalaya","Onion","Dec 2018","2485.65"
"Meghalaya","Onion","Jan 2019","2489.20"
"Meghalaya","Onion","Feb 2019","2024.81"
"Meghalaya","Onion","Mar 2019","2059.66"
"Meghalaya","Onion","Apr 2019","2121.62"
"Meghalaya","Onion","May 2019","2117.86"
"Meghalaya","Onion","Jun 2019","2185.52"
"Meghalaya","Onion","Jul 2019","2502.14"
"Meghalaya","Onion","Aug 2019","3120.70"
"Meghalaya","Onion","Sep 2019","4019.38"
"Meghalaya","Onion","Oct 2019","5050.55"
"Meghalaya","Onion","Nov 2019","6611.54"
"Meghalaya","Onion","Dec 2019","8500.00"
"Meghalaya","Onion","Jan 2022","3877.50"
"Meghalaya","Onion","Feb 2022","3906.28"
"Meghalaya","Onion","Mar 2022","3568.53"
"Meghalaya","Onion","Apr 2022","2936.36"
"Meghalaya","Onion","Feb 2023","2800.00"
"Meghalaya","Onion","Sep 2023","3800.00"
"Meghalaya","Onion","Oct 2023","4058.06"
"Meghalaya","Onion","Nov 2023","3600.00"
"Meghalaya","Onion","Dec 2023","3600.00"
"Meghalaya","Onion","Jan 2024","3600.00"
"Meghalaya","Onion","Feb 2024","3600.00"
"Meghalaya","Onion","Mar 2024","3486.79"
"Meghalaya","Onion","Apr 2024","3500.00"
"Meghalaya","Onion","May 2024","3469.26"
"Meghalaya","Onion","Jun 2024","4312.50"
"Meghalaya","Onion","Jul 2024","4236.60"
"Meghalaya","Onion","Aug 2024","4500.00"
"Meghalaya","Onion","Nov 2024","7614.28"
"Meghalaya","Onion","Dec 2024","7272.72"
"Meghalaya","Onion","Jan 2025","4974.13"
"Meghalaya","Onion","Apr 2025","4000.00"
"Meghalaya","Onion","Aug 2025","3701.75"
"Meghalaya","Onion","Sep 2025","3673.07"
"Meghalaya","Onion","Nov 2025","3470.78"
"Meghalaya","Onion","Dec 2025","3324.32"
"Meghalaya","Onion","Jun 2026","3780.00"
"Meghalaya","Onion","Jul 2026","4405.74"
