"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"Mizoram","Potato","Oct 2016","3534.46"
"Mizoram","Potato","Nov 2016","3300.00"
"Mizoram","Potato","Dec 2016","3350.00"
"Mizoram","Potato","Jan 2017","3150.00"
"Mizoram","Potato","Feb 2017","2440.80"
"Mizoram","Potato","Mar 2017","1450.00"
"Mizoram","Potato","May 2017","2311.92"
"Mizoram","Potato","Jun 2017","2500.00"
"Mizoram","Potato","Jul 2017","3115.49"
"Mizoram","Potato","Aug 2017","2500.00"
"Mizoram","Potato","Sep 2017","4043.68"
"Mizoram","Potato","Oct 2017","2400.00"
"Mizoram","Potato","Nov 2017","2413.45"
"Mizoram","Potato","Dec 2017","2946.70"
"Mizoram","Potato","Jan 2018","2918.32"
"Mizoram","Potato","Feb 2018","3448.67"
"Mizoram","Potato","Mar 2018","2116.88"
"Mizoram","Potato","Apr 2018","2284.03"
"Mizoram","Potato","May 2018","2494.28"
"Mizoram","Potato","Jun 2018","3151.42"
"Mizoram","Potato","Jul 2018","3473.57"
"Mizoram","Potato","Aug 2018","3560.48"
"Mizoram","Potato","Sep 2018","3476.62"
"Mizoram","Potato","Nov 2018","3250.00"
"Mizoram","Potato","Dec 2018","3250.00"
"Mizoram","Potato","Jan 2019","3250.00"
"Mizoram","Potato","Feb 2019","3250.00"
"Mizoram","Potato","Mar 2019","3250.00"
"Mizoram","Potato","Apr 2019","3250.00"
"Mizoram","Potato","May 2019","2360.70"
"Mizoram","Potato","Jun 2019","2281.22"
"Mizoram","Potato","Jul 2019","3000.00"
"Mizoram","Potato","Aug 2019","3146.36"
"Mizoram","Potato","Sep 2019","3081.44"
"Mizoram","Potato","Nov 2019","3900.85"
"Mizoram","Onion","Oct 2016","3054.88"
"Mizoram","Onion","Dec 2016","3017.24"
"Mizoram","Onion","Jan 2017","3200.00"
"Mizoram","Onion","Feb 2017","2635.15"
"Mizoram","Onion","Mar 2017","2500.00"
"Mizoram","Onion","May 2017","3223.05"
"Mizoram","Onion","Jun 2017","3500.00"
"Mizoram","Onion","Jul 2017","3009.01"
"Mizoram","Onion","Aug 2017","3155.17"
"Mizoram","Onion","Sep 2017","4670.62"
"Mizoram","Onion","Oct 2017","4857.44"
"Mizoram","Onion","Nov 2017","5060.83"
"Mizoram","Onion","Dec 2017","6312.50"
"Mizoram","Onion","Jan 2018","5263.99"
"Mizoram","Onion","Feb 2018","5911.92"
"Mizoram","Onion","Mar 2018","5500.10"
"Mizoram","Onion","Apr 2018","4914.62"
"Mizoram","Onion","May 2018","3169.81"
"Mizoram","Onion","Jun 2018","3066.15"
"Mizoram","Onion","Jul 2018","3887.44"
"Mizoram","Onion","Aug 2018","3973.09"
"Mizoram","Onion","Sep 2018","3849.61"
"Mizoram","Onion","Nov 2018","3900.00"
"Mizoram","Onion","Dec 2018","3900.00"
"Mizoram","Onion","Jan 2019","3656.88"
"Mizoram","Onion","Feb 2019","3842.85"
"Mizoram","Onion","Mar 2019","3900.00"
"Mizoram","Onion","May 2019","2900.00"
"Mizoram","Onion","Jun 2019","2995.54"
"Mizoram","Onion","Jul 2019","2900.00"
"Mizoram","Onion","Aug 2019","4428.66"
"Mizoram","Onion","Sep 2019","4359.50"
"Mizoram","Onion","Nov 2019","6606.61"
"Mizoram","Tomato","Oct 2016","4252.29"
"Mizoram","Tomato","Nov 2016","1900.00"
"Mizoram","Tomato","Dec 2016","4337.12"
"Mizoram","Tomato","Jan 2017","5089.92"
"Mizoram","Tomato","Feb 2017","3257.27"
"Mizoram","Tomato","Mar 2017","2900.00"
"Mizoram","Tomato","May 2017","3969.30"
"Mizoram","Tomato","Jun 2017","6500.00"
"Mizoram","Tomato","Jul 2017","4886.42"
"Mizoram","Tomato","Aug 2017","5993.16"
"Mizoram","Tomato","Sep 2017","7521.26"
