"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"Nagaland","Tomato","Oct 2016","5300.00"
"Nagaland","Tomato","Nov 2016","7200.00"
"Nagaland","Tomato","Dec 2016","6563.63"
"Nagaland","Tomato","Jan 2017","5746.87"
"Nagaland","Tomato","Mar 2017","2303.89"
"Nagaland","Tomato","Apr 2017","9036.36"
"Nagaland","Tomato","May 2017","10480.55"
"Nagaland","Tomato","Jun 2017","8756.52"
"Nagaland","Tomato","Jul 2017","4771.42"
"Nagaland","Tomato","Aug 2017","6031.25"
"Nagaland","Tomato","Sep 2017","6626.66"
"Nagaland","Tomato","Oct 2017","8200.00"
"Nagaland","Tomato","Nov 2017","7500.00"
"Nagaland","Tomato","Dec 2017","6441.66"
"Nagaland","Tomato","Jan 2018","6805.88"
"Nagaland","Tomato","Feb 2018","5412.50"
"Nagaland","Tomato","Mar 2018","4361.64"
"Nagaland","Tomato","Apr 2018","3810.76"
"Nagaland","Tomato","May 2018","4009.51"
"Nagaland","Tomato","Jun 2018","4143.34"
"Nagaland","Tomato","Jul 2018","4392.34"
"Nagaland","Tomato","Aug 2018","4483.93"
"Nagaland","Tomato","Sep 2018","4378.13"
"Nagaland","Tomato","Oct 2018","5216.49"
"Nagaland","Tomato","Nov 2018","4433.43"
"Nagaland","Tomato","Dec 2018","4257.19"
"Nagaland","Tomato","Jan 2019","7635.00"
"Nagaland","Tomato","Feb 2019","6181.81"
"Nagaland","Tomato","Mar 2019","5982.35"
"Nagaland","Tomato","Apr 2019","6789.65"
"Nagaland","Tomato","May 2019","8414.81"
"Nagaland","Tomato","Jun 2019","6905.88"
"Nagaland","Tomato","Jul 2019","4957.41"
"Nagaland","Tomato","Aug 2019","4703.31"
"Nagaland","Tomato","Sep 2019","5028.85"
"Nagaland","Tomato","Oct 2019","5200.00"
"Nagaland","Tomato","Nov 2019","5443.66"
"Nagaland","Tomato","Jan 2020","3685.92"
"Nagaland","Tomato","Feb 2020","4231.98"
"Nagaland","Tomato","Mar 2020","3620.88"
"Nagaland","Tomato","Apr 2020","2764.68"
"Nagaland","Tomato","May 2020","2785.24"
"Nagaland","Tomato","Jun 2020","3000.00"
"Nagaland","Tomato","Jul 2020","4575.00"
"Nagaland","Tomato","Aug 2020","8147.05"
"Nagaland","Tomato","Jan 2021","3350.00"
"Nagaland","Tomato","Feb 2021","3500.00"
"Nagaland","Tomato","Apr 2021","2611.11"
"Nagaland","Tomato","May 2021","2223.72"
"Nagaland","Tomato","Jun 2021","3339.02"
"Nagaland","Tomato","Jul 2021","3536.48"
"Nagaland","Tomato","Aug 2021","3380.00"
"Nagaland","Tomato","Sep 2021","3778.26"
"Nagaland","Tomato","Oct 2021","4125.00"
"Nagaland","Tomato","Nov 2021","3546.66"
"Nagaland","Tomato","Dec 2021","6000.00"
