"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"Odisha","Moong","Oct 2016","6898.87"
"Odisha","Moong","Nov 2016","6523.74"
"Odisha","Moong","Dec 2016","5566.12"
"Odisha","Moong","Jan 2017","5704.00"
"Odisha","Moong","Feb 2017","5728.42"
"Odisha","Moong","Mar 2017","5444.68"
"Odisha","Moong","Apr 2017","5326.21"
"Odisha","Moong","May 2017","5164.89"
"Odisha","Moong","Jun 2017","5245.90"
"Odisha","Moong","Jul 2017","5439.11"
"Odisha","Moong","Aug 2017","5915.86"
"Odisha","Moong","Sep 2017","6027.98"
"Odisha","Moong","Oct 2017","6180.90"
"Odisha","Moong","Nov 2017","6086.90"
"Odisha","Moong","Dec 2017","6486.03"
"Odisha","Moong","Jan 2018","6612.58"
"Odisha","Moong","Feb 2018","5905.69"
"Odisha","Moong","Mar 2018","5600.12"
"Odisha","Moong","Apr 2018","5613.41"
"Odisha","Moong","May 2018","5755.44"
"Odisha","Moong","Jun 2018","5623.73"
"Odisha","Moong","Jul 2018","5605.66"
"Odisha","Moong","Aug 2018","5602.79"
"Odisha","Moong","Sep 2018","5828.35"
"Odisha","Moong","Oct 2018","6970.74"
"Odisha","Moong","Nov 2018","6820.89"
"Odisha","Moong","Dec 2018","6870.46"
"Odisha","Moong","Jan 2019","6942.15"
"Odisha","Moong","Feb 2019","6977.29"
"Odisha","Moong","Mar 2019","7026.54"
"Odisha","Moong","Apr 2019","7030.22"
"Odisha","Moong","May 2019","7200.20"
"Odisha","Moong","Jun 2019","7365.60"
"Odisha","Moong","Jul 2019","6977.58"
"Odisha","Moong","Aug 2019","6982.18"
"Odisha","Moong","Sep 2019","6951.82"
"Odisha","Moong","Oct 2019","6848.76"
"Odisha","Moong","Nov 2019","7061.48"
"Odisha","Moong","Dec 2019","7916.16"
"Odisha","Moong","Jan 2020","7160.61"
"Odisha","Moong","Feb 2020","7074.41"
"Odisha","Moong","Mar 2020","7046.42"
"Odisha","Moong","Apr 2020","7175.94"
"Odisha","Moong","May 2020","7067.12"
"Odisha","Moong","Jun 2020","7026.56"
"Odisha","Moong","Jul 2020","7005.66"
"Odisha","Moong","Aug 2020","6879.03"
"Odisha","Moong","Sep 2020","6975.00"
"Odisha","Moong","Oct 2020","6975.00"
"Odisha","Moong","Nov 2020","6975.00"
"Odisha","Moong","Dec 2020","6975.00"
"Odisha","Moong","Jan 2021","7000.20"
"Odisha","Moong","Feb 2021","6976.37"
"Odisha","Moong","Mar 2021","7004.73"
"Odisha","Moong","Apr 2021","6977.73"
"Odisha","Moong","May 2021","6975.00"
"Odisha","Moong","Jun 2021","7001.96"
"Odisha","Moong","Jul 2021","6975.00"
"Odisha","Moong","Aug 2021","7039.17"
"Odisha","Moong","Sep 2021","6975.00"
"Odisha","Moong","Oct 2021","6975.00"
"Odisha","Moong","Nov 2021","6975.00"
"Odisha","Moong","Dec 2021","6975.00"
"Odisha","Moong","Jan 2022","6975.00"
"Odisha","Moong","Feb 2022","6975.00"
"Odisha","Moong","Mar 2022","6977.83"
"Odisha","Moong","Apr 2022","7717.64"
"Odisha","Moong","May 2022","6975.00"
"Odisha","Moong","Jun 2022","6975.00"
"Odisha","Moong","Jul 2022","6975.00"
"Odisha","Moong","Aug 2022","6975.00"
"Odisha","Moong","Sep 2022","7607.06"
"Odisha","Moong","Oct 2022","7827.73"
"Odisha","Moong","Nov 2022","7802.77"
"Odisha","Moong","Dec 2022","8000.00"
"Odisha","Moong","Jan 2023","7891.34"
"Odisha","Moong","Feb 2023","7805.13"
"Odisha","Moong","Mar 2023","7802.55"
"Odisha","Moong","Apr 2023","8000.00"
"Odisha","Moong","May 2023","8662.16"
"Odisha","Moong","Jul 2023","7500.00"
"Odisha","Moong","Sep 2023","7935.71"
"Odisha","Moong","Oct 2023","8770.00"
"Odisha","Moong","Nov 2023","8900.00"
"Odisha","Moong","Dec 2023","9000.00"
"Odisha","Moong","Feb 2024","8936.84"
