"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"Puducherry","Ragi","Oct 2016","1858.81"
"Puducherry","Ragi","Nov 2016","2265.97"
"Puducherry","Ragi","Dec 2016","2454.04"
"Puducherry","Ragi","Jan 2017","2607.29"
"Puducherry","Ragi","Feb 2017","3092.71"
"Puducherry","Ragi","Mar 2017","3026.15"
"Puducherry","Ragi","Apr 2017","2722.96"
"Puducherry","Ragi","May 2017","2535.08"
"Puducherry","Ragi","Jun 2017","2734.97"
"Puducherry","Ragi","Jul 2017","2878.29"
"Puducherry","Ragi","Aug 2017","2804.27"
"Puducherry","Ragi","Sep 2017","2335.35"
"Puducherry","Ragi","Oct 2017","2534.82"
"Puducherry","Ragi","Nov 2017","2531.80"
"Puducherry","Ragi","Dec 2017","2555.32"
"Puducherry","Ragi","Jan 2018","2612.66"
"Puducherry","Ragi","Feb 2018","2639.44"
"Puducherry","Ragi","Mar 2018","2682.60"
"Puducherry","Ragi","Apr 2018","2016.03"
"Puducherry","Ragi","May 2018","1864.10"
"Puducherry","Ragi","Jun 2018","1809.45"
"Puducherry","Ragi","Jul 2018","1953.73"
"Puducherry","Ragi","Aug 2018","1956.06"
"Puducherry","Ragi","Sep 2018","1866.32"
"Puducherry","Ragi","Oct 2018","1948.72"
"Puducherry","Ragi","Nov 2018","1964.69"
"Puducherry","Ragi","Dec 2018","2171.77"
"Puducherry","Ragi","Jan 2019","2342.91"
"Puducherry","Ragi","Feb 2019","2526.18"
"Puducherry","Ragi","Mar 2019","2473.35"
"Puducherry","Ragi","Apr 2019","2474.07"
"Puducherry","Ragi","May 2019","2575.41"
"Puducherry","Ragi","Jun 2019","2461.57"
"Puducherry","Ragi","Jul 2019","2693.88"
"Puducherry","Ragi","Aug 2019","2575.10"
"Puducherry","Ragi","Sep 2019","2396.83"
"Puducherry","Ragi","Oct 2019","2384.37"
"Puducherry","Ragi","Nov 2019","2348.54"
"Puducherry","Ragi","Dec 2019","2243.60"
"Puducherry","Ragi","Jun 2020","2692.53"
"Puducherry","Ragi","Jul 2020","2505.84"
"Puducherry","Ragi","Sep 2020","2047.01"
"Puducherry","Ragi","Oct 2020","1988.75"
"Puducherry","Ragi","Dec 2020","2164.35"
"Puducherry","Ragi","Feb 2021","2252.87"
"Puducherry","Ragi","Jan 2022","2257.69"
"Puducherry","Ragi","Feb 2022","2382.47"
"Puducherry","Ragi","Mar 2022","3126.86"
"Puducherry","Ragi","Apr 2022","2204.23"
"Puducherry","Ragi","Jun 2022","2132.34"
"Puducherry","Ragi","Jul 2022","2286.17"
"Puducherry","Ragi","Aug 2022","2243.82"
"Puducherry","Ragi","Sep 2022","2162.76"
"Puducherry","Ragi","Oct 2022","2034.56"
"Puducherry","Ragi","Nov 2022","2292.12"
"Puducherry","Ragi","Dec 2022","2242.00"
"Puducherry","Ragi","Jan 2023","2511.90"
"Puducherry","Ragi","Feb 2023","2665.71"
"Puducherry","Ragi","Mar 2023","2907.38"
