"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"Punjab","Tomato","Oct 2016","1269.23"
"Punjab","Tomato","Nov 2016","1030.26"
"Punjab","Tomato","Dec 2016","837.13"
"Punjab","Tomato","Jan 2017","736.55"
"Punjab","Tomato","Feb 2017","729.51"
"Punjab","Tomato","Mar 2017","901.07"
"Punjab","Tomato","Apr 2017","973.98"
"Punjab","Tomato","May 2017","528.95"
"Punjab","Tomato","Jun 2017","616.60"
"Punjab","Tomato","Jul 2017","2604.08"
"Punjab","Tomato","Aug 2017","2981.28"
"Punjab","Tomato","Sep 2017","1577.51"
"Punjab","Tomato","Oct 2017","1810.87"
"Punjab","Tomato","Nov 2017","2840.46"
"Punjab","Tomato","Dec 2017","1697.24"
"Punjab","Tomato","Jan 2018","942.85"
"Punjab","Tomato","Feb 2018","809.96"
"Punjab","Tomato","Mar 2018","687.06"
"Punjab","Tomato","Apr 2018","640.49"
"Punjab","Tomato","May 2018","453.57"
"Punjab","Tomato","Jun 2018","574.17"
"Punjab","Tomato","Jul 2018","1270.17"
"Punjab","Tomato","Aug 2018","1613.13"
"Punjab","Tomato","Sep 2018","995.80"
"Punjab","Tomato","Oct 2018","1343.24"
"Punjab","Tomato","Nov 2018","1132.63"
"Punjab","Tomato","Dec 2018","1191.73"
"Punjab","Tomato","Jan 2019","1413.76"
"Punjab","Tomato","Feb 2019","1435.33"
"Punjab","Tomato","Mar 2019","1804.47"
"Punjab","Tomato","Apr 2019","1439.10"
"Punjab","Tomato","May 2019","1433.41"
"Punjab","Tomato","Jun 2019","855.79"
"Punjab","Tomato","Jul 2019","1564.96"
"Punjab","Tomato","Aug 2019","2018.40"
"Punjab","Tomato","Sep 2019","1695.64"
"Punjab","Tomato","Oct 2019","2390.70"
"Punjab","Tomato","Nov 2019","1924.47"
"Punjab","Tomato","Dec 2019","1189.94"
"Punjab","Tomato","Jan 2020","1243.87"
"Punjab","Tomato","Feb 2020","932.84"
"Punjab","Tomato","Mar 2020","814.70"
"Punjab","Tomato","Apr 2020","1321.57"
"Punjab","Tomato","May 2020","664.85"
"Punjab","Tomato","Jun 2020","543.82"
"Punjab","Tomato","Jul 2020","2328.12"
"Punjab","Tomato","Aug 2020","2678.73"
"Punjab","Tomato","Sep 2020","3120.45"
"Punjab","Tomato","Oct 2020","2529.84"
"Punjab","Tomato","Nov 2020","2648.59"
"Punjab","Tomato","Dec 2020","1889.74"
"Punjab","Tomato","Jan 2021","1173.45"
"Punjab","Tomato","Feb 2021","1028.87"
"Punjab","Tomato","Mar 2021","892.47"
"Punjab","Tomato","Apr 2021","1028.00"
"Punjab","Tomato","May 2021","535.25"
"Punjab","Tomato","Jun 2021","615.18"
"Punjab","Tomato","Jul 2021","1174.89"
"Punjab","Tomato","Aug 2021","1307.82"
"Punjab","Tomato","Sep 2021","1303.17"
"Punjab","Tomato","Oct 2021","2681.95"
"Punjab","Tomato","Nov 2021","3306.06"
"Punjab","Tomato","Dec 2021","2656.06"
