"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"Rajasthan","Gram","Oct 2016","8673.53"
"Rajasthan","Gram","Nov 2016","8271.24"
"Rajasthan","Gram","Dec 2016","8124.76"
"Rajasthan","Gram","Jan 2017","7426.53"
"Rajasthan","Gram","Feb 2017","4689.38"
"Rajasthan","Gram","Mar 2017","4895.72"
"Rajasthan","Gram","Apr 2017","5222.03"
"Rajasthan","Gram","May 2017","5196.41"
"Rajasthan","Gram","Jun 2017","4857.04"
"Rajasthan","Gram","Jul 2017","4822.90"
"Rajasthan","Gram","Aug 2017","5120.87"
"Rajasthan","Gram","Sep 2017","5508.07"
"Rajasthan","Gram","Oct 2017","4832.10"
"Rajasthan","Gram","Nov 2017","4233.14"
"Rajasthan","Gram","Dec 2017","4035.26"
"Rajasthan","Gram","Jan 2018","3702.21"
"Rajasthan","Gram","Feb 2018","3539.35"
"Rajasthan","Gram","Mar 2018","3430.94"
"Rajasthan","Gram","Apr 2018","3577.72"
"Rajasthan","Gram","May 2018","3738.83"
"Rajasthan","Gram","Jun 2018","4031.97"
"Rajasthan","Gram","Jul 2018","3699.68"
"Rajasthan","Gram","Aug 2018","3907.13"
"Rajasthan","Gram","Sep 2018","3464.39"
"Rajasthan","Gram","Oct 2018","3728.32"
"Rajasthan","Gram","Nov 2018","3949.15"
"Rajasthan","Gram","Dec 2018","3958.96"
"Rajasthan","Gram","Jan 2019","3869.39"
"Rajasthan","Gram","Feb 2019","3721.54"
"Rajasthan","Gram","Mar 2019","3780.14"
"Rajasthan","Gram","Apr 2019","4072.03"
"Rajasthan","Gram","May 2019","4216.92"
"Rajasthan","Gram","Jun 2019","4197.71"
"Rajasthan","Gram","Jul 2019","3956.78"
"Rajasthan","Gram","Aug 2019","3918.64"
"Rajasthan","Gram","Sep 2019","3804.62"
"Rajasthan","Gram","Oct 2019","4211.62"
"Rajasthan","Gram","Nov 2019","3957.76"
"Rajasthan","Gram","Dec 2019","3881.83"
"Rajasthan","Gram","Jan 2020","3760.27"
"Rajasthan","Gram","Feb 2020","3686.65"
"Rajasthan","Gram","Mar 2020","3617.01"
"Rajasthan","Gram","Apr 2020","3833.93"
"Rajasthan","Gram","May 2020","4067.11"
"Rajasthan","Gram","Jun 2020","4028.14"
"Rajasthan","Gram","Jul 2020","3833.40"
"Rajasthan","Gram","Aug 2020","3615.90"
"Rajasthan","Gram","Sep 2020","4628.53"
"Rajasthan","Gram","Oct 2020","4850.82"
"Rajasthan","Gram","Nov 2020","4529.94"
"Rajasthan","Gram","Dec 2020","4131.71"
"Rajasthan","Gram","Jan 2021","4021.15"
"Rajasthan","Gram","Feb 2021","4165.90"
"Rajasthan","Gram","Mar 2021","4621.63"
"Rajasthan","Gram","Apr 2021","5063.48"
"Rajasthan","Gram","May 2021","5017.61"
"Rajasthan","Gram","Jun 2021","4705.00"
"Rajasthan","Gram","Jul 2021","4524.67"
"Rajasthan","Gram","Aug 2021","4722.77"
"Rajasthan","Gram","Sep 2021","4874.26"
"Rajasthan","Gram","Oct 2021","4622.50"
"Rajasthan","Gram","Nov 2021","4500.77"
"Rajasthan","Gram","Dec 2021","4366.57"
"Rajasthan","Gram","Jan 2022","4611.85"
"Rajasthan","Gram","Feb 2022","4433.91"
"Rajasthan","Gram","Mar 2022","4674.60"
"Rajasthan","Gram","Apr 2022","4746.11"
"Rajasthan","Gram","May 2022","4400.65"
"Rajasthan","Gram","Jun 2022","4326.40"
"Rajasthan","Gram","Jul 2022","4378.89"
"Rajasthan","Gram","Aug 2022","4366.04"
"Rajasthan","Gram","Sep 2022","4252.19"
"Rajasthan","Gram","Oct 2022","4306.48"
"Rajasthan","Gram","Nov 2022","4328.03"
