"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"Telangana","Moong","Oct 2016","4493.53"
"Telangana","Moong","Nov 2016","4391.08"
"Telangana","Moong","Dec 2016","4120.75"
"Telangana","Moong","Jan 2017","4245.28"
"Telangana","Moong","Feb 2017","4270.55"
"Telangana","Moong","Mar 2017","4691.11"
"Telangana","Moong","Apr 2017","4753.86"
"Telangana","Moong","May 2017","4103.59"
"Telangana","Moong","Jun 2017","3833.41"
"Telangana","Moong","Jul 2017","3899.02"
"Telangana","Moong","Aug 2017","4355.74"
"Telangana","Moong","Sep 2017","3706.07"
"Telangana","Moong","Oct 2017","3426.88"
"Telangana","Moong","Nov 2017","3469.31"
"Telangana","Moong","Dec 2017","3541.36"
"Telangana","Moong","Jan 2018","3909.45"
"Telangana","Moong","Feb 2018","4155.03"
"Telangana","Moong","Mar 2018","4152.78"
"Telangana","Moong","Apr 2018","3893.24"
"Telangana","Moong","May 2018","2873.24"
"Telangana","Moong","Jun 2018","3964.29"
"Telangana","Moong","Jul 2018","4225.59"
"Telangana","Moong","Aug 2018","4306.71"
"Telangana","Moong","Sep 2018","4105.52"
"Telangana","Moong","Oct 2018","4198.66"
"Telangana","Moong","Dec 2018","4100.05"
"Telangana","Moong","Jan 2019","5123.10"
"Telangana","Moong","Feb 2019","5454.71"
"Telangana","Moong","Mar 2019","6392.19"
"Telangana","Moong","Apr 2019","6000.97"
"Telangana","Moong","May 2019","5570.11"
"Telangana","Moong","Jun 2019","5583.67"
"Telangana","Moong","Jul 2019","5756.40"
"Telangana","Moong","Aug 2019","5739.86"
"Telangana","Moong","Sep 2019","5348.11"
"Telangana","Moong","Oct 2019","5389.47"
"Telangana","Moong","Nov 2019","6094.91"
"Telangana","Moong","Dec 2019","5878.19"
"Telangana","Moong","Jan 2020","6674.14"
"Telangana","Moong","Feb 2020","6609.67"
"Telangana","Moong","Mar 2020","6849.72"
"Telangana","Moong","Jun 2020","6648.12"
"Telangana","Moong","Jul 2020","5824.43"
"Telangana","Moong","Aug 2020","2444.29"
"Telangana","Moong","Sep 2020","3357.92"
"Telangana","Moong","Oct 2020","4661.28"
"Telangana","Moong","Nov 2020","5160.86"
"Telangana","Moong","Dec 2020","4628.10"
"Telangana","Moong","Mar 2021","6419.78"
"Telangana","Moong","Apr 2021","6454.12"
"Telangana","Moong","May 2021","6184.55"
"Telangana","Moong","Jun 2021","6004.68"
"Telangana","Moong","Jul 2021","5474.33"
"Telangana","Moong","Aug 2021","6018.18"
"Telangana","Moong","Sep 2021","6007.50"
"Telangana","Moong","Oct 2021","5496.12"
"Telangana","Moong","Nov 2021","5632.83"
"Telangana","Moong","Dec 2021","5963.41"
"Telangana","Moong","Jan 2022","5757.31"
"Telangana","Moong","Feb 2022","6109.17"
"Telangana","Moong","Mar 2022","6398.06"
"Telangana","Moong","Apr 2022","6232.87"
"Telangana","Moong","May 2022","5821.95"
"Telangana","Moong","Jun 2022","5876.56"
"Telangana","Moong","Jul 2022","6106.65"
"Telangana","Moong","Aug 2022","6111.37"
"Telangana","Moong","Sep 2022","6197.46"
"Telangana","Moong","Oct 2022","6445.60"
"Telangana","Moong","Nov 2022","6596.39"
"Telangana","Moong","Dec 2022","6670.17"
"Telangana","Moong","Jan 2023","6889.41"
"Telangana","Moong","Feb 2023","7215.06"
"Telangana","Moong","Mar 2023","7624.88"
"Telangana","Moong","Apr 2023","6931.83"
"Telangana","Moong","May 2023","6874.61"
"Telangana","Moong","Jun 2023","6865.89"
"Telangana","Moong","Jul 2023","7156.55"
"Telangana","Moong","Aug 2023","8720.60"
"Telangana","Moong","Sep 2023","8360.74"
"Telangana","Moong","Oct 2023","7770.54"
"Telangana","Moong","Nov 2023","8076.09"
"Telangana","Moong","Dec 2023","7737.95"
"Telangana","Moong","Jan 2024","7099.59"
"Telangana","Moong","Feb 2024","7868.09"
"Telangana","Moong","Mar 2024","7716.38"
"Telangana","Moong","Apr 2024","7529.87"
"Telangana","Moong","May 2024","7276.12"
"Telangana","Moong","Jun 2024","7047.85"
"Telangana","Moong","Jul 2024","7109.92"
"Telangana","Moong","Aug 2024","7582.42"
"Telangana","Moong","Sep 2024","7143.26"
"Telangana","Moong","Oct 2024","6633.05"
"Telangana","Moong","Nov 2024","6712.08"
"Telangana","Moong","Dec 2024","6252.49"
"Telangana","Moong","Jan 2025","6375.26"
"Telangana","Moong","Feb 2025","6459.04"
"Telangana","Moong","Mar 2025","6835.16"
"Telangana","Moong","Apr 2025","6663.40"
"Telangana","Moong","May 2025","6578.03"
"Telangana","Moong","Jun 2025","6390.83"
"Telangana","Moong","Jul 2025","6224.07"
"Telangana","Moong","Aug 2025","6375.91"
"Telangana","Moong","Sep 2025","5651.63"
"Telangana","Moong","Oct 2025","5095.36"
"Telangana","Moong","Nov 2025","5197.29"
"Telangana","Moong","Dec 2025","5142.53"
"Telangana","Moong","Jan 2026","5802.33"
"Telangana","Moong","Feb 2026","6609.25"
"Telangana","Moong","Mar 2026","6425.51"
"Telangana","Moong","Apr 2026","7705.19"
"Telangana","Moong","May 2026","6921.97"
"Telangana","Moong","Jun 2026","7320.34"
"Telangana","Moong","Jul 2026","7325.17"
"Telangana","Moong","Aug 2026","7702.97"
"Telangana","Moong","Sep 2026","8123.04"
"Telangana","Maize","Oct 2016","1384.27"
"Telangana","Maize","Nov 2016","1380.69"
"Telangana","Maize","Dec 2016","1399.31"
"Telangana","Maize","Jan 2017","1447.96"
"Telangana","Maize","Feb 2017","1366.53"
