"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"Tripura","Urad","Oct 2016","9920.00"
"Tripura","Urad","Nov 2016","10337.69"
"Tripura","Urad","Dec 2016","9932.70"
"Tripura","Urad","Jan 2017","9245.45"
"Tripura","Urad","Feb 2017","7319.01"
"Tripura","Urad","Mar 2017","7022.22"
"Tripura","Urad","Apr 2017","7045.24"
"Tripura","Urad","May 2017","7227.19"
"Tripura","Urad","Jun 2017","6939.68"
"Tripura","Urad","Jul 2017","6838.09"
"Tripura","Urad","Aug 2017","7115.04"
"Tripura","Urad","Sep 2017","7597.69"
"Tripura","Urad","Oct 2017","7502.92"
"Tripura","Urad","Nov 2017","7027.09"
"Tripura","Urad","Dec 2017","6581.01"
"Tripura","Urad","Jan 2018","6565.05"
"Tripura","Urad","Feb 2018","6667.34"
"Tripura","Urad","Mar 2018","6273.23"
"Tripura","Urad","Apr 2018","6216.00"
"Tripura","Urad","May 2018","6055.74"
"Tripura","Urad","Jun 2018","6088.82"
"Tripura","Urad","Jul 2018","6140.12"
"Tripura","Urad","Aug 2018","6114.35"
"Tripura","Urad","Sep 2018","5895.91"
"Tripura","Urad","Oct 2018","5887.03"
"Tripura","Urad","Nov 2018","5883.56"
"Tripura","Urad","Dec 2018","5657.69"
"Tripura","Urad","Jan 2019","5771.87"
"Tripura","Urad","Feb 2019","6095.95"
"Tripura","Urad","Mar 2019","6817.64"
"Tripura","Urad","Apr 2019","6364.91"
"Tripura","Urad","May 2019","6033.33"
"Tripura","Urad","Jun 2019","5737.28"
"Tripura","Urad","Jul 2019","5758.57"
"Tripura","Urad","Aug 2019","5856.45"
"Tripura","Urad","Sep 2019","6231.57"
"Tripura","Urad","Oct 2019","6682.72"
"Tripura","Urad","Nov 2019","6593.82"
"Tripura","Urad","Dec 2019","7009.21"
"Tripura","Urad","Jan 2020","7410.95"
"Tripura","Urad","Feb 2020","7436.11"
"Tripura","Urad","Mar 2020","7460.00"
"Tripura","Urad","Jun 2020","5800.00"
"Tripura","Urad","Jul 2020","7800.00"
"Tripura","Potato","Oct 2016","2158.03"
"Tripura","Potato","Nov 2016","1921.24"
"Tripura","Potato","Dec 2016","1624.52"
"Tripura","Potato","Jan 2017","1221.19"
"Tripura","Potato","Feb 2017","1004.38"
"Tripura","Potato","Mar 2017","1003.39"
"Tripura","Potato","Apr 2017","1012.36"
"Tripura","Potato","May 2017","1111.85"
"Tripura","Potato","Jun 2017","1275.61"
"Tripura","Potato","Jul 2017","1268.23"
"Tripura","Potato","Aug 2017","1343.75"
"Tripura","Potato","Sep 2017","1268.19"
"Tripura","Potato","Oct 2017","1199.51"
"Tripura","Potato","Nov 2017","1728.70"
"Tripura","Potato","Dec 2017","1220.06"
"Tripura","Potato","Jan 2018","2097.38"
"Tripura","Potato","Feb 2018","1228.11"
"Tripura","Potato","Mar 2018","1274.73"
"Tripura","Potato","Apr 2018","1497.79"
"Tripura","Potato","May 2018","1789.87"
"Tripura","Potato","Jun 2018","1973.06"
"Tripura","Potato","Jul 2018","1977.17"
"Tripura","Potato","Aug 2018","1848.31"
"Tripura","Potato","Sep 2018","1976.28"
"Tripura","Potato","Oct 2018","1937.37"
"Tripura","Potato","Nov 2018","1845.06"
"Tripura","Potato","Dec 2018","1455.01"
"Tripura","Potato","Jan 2019","1346.51"
"Tripura","Potato","Feb 2019","1143.59"
"Tripura","Potato","Mar 2019","1033.38"
"Tripura","Potato","Apr 2019","1192.00"
"Tripura","Potato","May 2019","1237.82"
"Tripura","Potato","Jun 2019","1460.25"
"Tripura","Potato","Jul 2019","1486.43"
"Tripura","Potato","Aug 2019","1406.73"
"Tripura","Potato","Sep 2019","1372.76"
"Tripura","Potato","Oct 2019","1731.30"
"Tripura","Potato","Nov 2019","2059.89"
"Tripura","Potato","Dec 2019","2343.56"
"Tripura","Potato","Jan 2020","2397.39"
"Tripura","Potato","Feb 2020","2052.19"
"Tripura","Potato","Mar 2020","1716.96"
"Tripura","Potato","Apr 2020","2307.29"
"Tripura","Potato","May 2020","2311.66"
"Tripura","Potato","Jun 2020","2738.30"
"Tripura","Potato","Jul 2020","2802.52"
"Tripura","Potato","Aug 2020","3131.13"
"Tripura","Potato","Sep 2020","3438.07"
"Tripura","Potato","Oct 2020","3869.42"
"Tripura","Potato","Nov 2020","4330.84"
"Tripura","Potato","Dec 2020","3742.20"
"Tripura","Potato","Jan 2021","1672.07"
"Tripura","Potato","Feb 2021","1270.39"
"Tripura","Potato","Mar 2021","1352.49"
"Tripura","Potato","Apr 2021","1456.72"
"Tripura","Potato","May 2021","1544.33"
"Tripura","Potato","Jun 2021","1710.28"
"Tripura","Potato","Jul 2021","1649.59"
"Tripura","Potato","Aug 2021","1577.87"
"Tripura","Potato","Sep 2021","1641.89"
"Tripura","Potato","Oct 2021","1762.53"
"Tripura","Potato","Nov 2021","2175.70"
"Tripura","Potato","Dec 2021","2460.70"
"Tripura","Potato","Jan 2022","1703.39"
"Tripura","Potato","Feb 2022","1642.76"
"Tripura","Potato","Mar 2022","1934.93"
"Tripura","Potato","Apr 2022","2111.05"
"Tripura","Potato","May 2022","2350.75"
"Tripura","Potato","Jun 2022","2676.82"
"Tripura","Potato","Jul 2022","2785.50"
"Tripura","Potato","Aug 2022","2625.77"
"Tripura","Potato","Sep 2022","2520.08"
"Tripura","Potato","Oct 2022","2529.12"
"Tripura","Potato","Nov 2022","2062.05"
"Tripura","Potato","Dec 2022","1985.47"
"Tripura","Potato","Jan 2023","1838.48"
"Tripura","Potato","Feb 2023","1379.54"
"Tripura","Potato","Mar 2023","1294.47"
"Tripura","Potato","Apr 2023","1615.11"
"Tripura","Potato","May 2023","2050.38"
"Tripura","Potato","Jun 2023","2229.85"
"Tripura","Potato","Jul 2023","2457.90"
"Tripura","Potato","Aug 2023","2290.84"
"Tripura","Potato","Sep 2023","2005.19"
"Tripura","Potato","Oct 2023","2025.70"
"Tripura","Potato","Nov 2023","1948.24"
"Tripura","Potato","Dec 2023","1989.27"
"Tripura","Potato","Jan 2024","1855.46"
"Tripura","Potato","Feb 2024","1714.45"
"Tripura","Potato","Mar 2024","2011.36"
"Tripura","Potato","Apr 2024","2466.27"
"Tripura","Potato","May 2024","2864.02"
"Tripura","Potato","Jun 2024","3076.35"
"Tripura","Potato","Jul 2024","3336.82"
"Tripura","Potato","Aug 2024","3748.82"
