"State","Crop","Calendar","Mandi Modal Price (AgMarknet)"
"West Bengal","Peas","Oct 2016","3600.00"
"West Bengal","Peas","Nov 2016","3340.90"
"West Bengal","Peas","Dec 2016","3200.00"
"West Bengal","Peas","Jan 2017","3200.00"
"West Bengal","Peas","Feb 2017","3256.76"
"West Bengal","Peas","Mar 2017","3023.30"
"West Bengal","Peas","Apr 2017","2700.00"
"West Bengal","Peas","May 2017","2946.93"
"West Bengal","Peas","Jun 2017","3000.00"
"West Bengal","Peas","Jul 2017","3001.61"
"West Bengal","Peas","Aug 2017","3000.00"
"West Bengal","Peas","Sep 2017","3089.95"
"West Bengal","Peas","Oct 2017","3200.00"
"West Bengal","Peas","Nov 2017","3200.00"
"West Bengal","Peas","Dec 2017","3200.00"
"West Bengal","Peas","Jan 2018","3161.78"
"West Bengal","Peas","Feb 2018","3000.00"
"West Bengal","Peas","Mar 2018","3000.00"
"West Bengal","Peas","Apr 2018","4200.00"
"West Bengal","Peas","May 2018","3030.14"
"West Bengal","Peas","Jun 2018","3176.65"
"West Bengal","Peas","Jul 2018","3511.38"
"West Bengal","Peas","Aug 2018","4844.03"
"West Bengal","Peas","Sep 2018","4874.54"
"West Bengal","Peas","Oct 2018","4927.97"
"West Bengal","Peas","Nov 2018","4865.03"
"West Bengal","Peas","Dec 2018","4757.25"
"West Bengal","Peas","Jan 2019","4649.08"
"West Bengal","Peas","Feb 2019","4793.72"
"West Bengal","Peas","Mar 2019","4778.97"
"West Bengal","Peas","Apr 2019","4331.62"
"West Bengal","Peas","May 2019","4359.47"
"West Bengal","Peas","Jun 2019","4954.77"
"West Bengal","Peas","Jul 2019","5357.77"
"West Bengal","Peas","Aug 2019","5537.31"
"West Bengal","Peas","Sep 2019","5609.80"
"West Bengal","Peas","Oct 2019","5391.31"
"West Bengal","Peas","Nov 2019","5599.78"
"West Bengal","Peas","Dec 2019","5764.63"
"West Bengal","Peas","Jan 2020","6028.53"
"West Bengal","Peas","Feb 2020","6233.93"
"West Bengal","Peas","Mar 2020","5905.43"
"West Bengal","Peas","Apr 2020","6152.63"
"West Bengal","Peas","May 2020","6145.67"
"West Bengal","Peas","Jun 2020","6229.05"
"West Bengal","Peas","Jul 2020","6296.77"
"West Bengal","Peas","Jan 2022","5366.64"
"West Bengal","Peas","Feb 2022","5388.62"
"West Bengal","Peas","Mar 2022","5449.31"
"West Bengal","Peas","Apr 2022","5395.92"
"West Bengal","Peas","May 2022","5381.19"
"West Bengal","Peas","Jun 2022","5399.34"
"West Bengal","Peas","Jul 2022","5447.58"
"West Bengal","Peas","Aug 2022","5458.93"
"West Bengal","Peas","Sep 2022","5446.44"
"West Bengal","Peas","Oct 2022","5518.97"
"West Bengal","Peas","Nov 2022","5575.38"
"West Bengal","Peas","Dec 2022","5557.24"
"West Bengal","Peas","Jan 2023","5656.71"
"West Bengal","Peas","Feb 2023","5901.92"
"West Bengal","Peas","Mar 2023","6056.09"
"West Bengal","Peas","Apr 2023","6004.47"
"West Bengal","Peas","May 2023","6090.26"
"West Bengal","Peas","Jun 2023","6201.76"
