State,Crop,Calendar,Mandi Modal Price (AgMarknet)
All India,Linseed,Oct 2016,5785.7
All India,Linseed,Nov 2016,5169.87
All India,Linseed,Dec 2016,4627.06
All India,Linseed,Jan 2017,5069.81
All India,Linseed,Feb 2017,5004.23
All India,Linseed,Mar 2017,3774.02
All India,Linseed,Apr 2017,4088.5
All India,Linseed,May 2017,3985.06
All India,Linseed,Jun 2017,4069.42
All India,Linseed,Jul 2017,4003.04
All India,Linseed,Aug 2017,4047.02
All India,Linseed,Sep 2017,4164.69
All India,Linseed,Oct 2017,3969.96
All India,Linseed,Nov 2017,3263.66
All India,Linseed,Dec 2017,3088.93
All India,Linseed,Jan 2018,4077.41
All India,Linseed,Feb 2018,4026.83
All India,Linseed,Mar 2018,3689.01
All India,Linseed,Apr 2018,3531.55
All India,Linseed,May 2018,3633.29
All India,Linseed,Jun 2018,3821.06
All India,Linseed,Jul 2018,3898.88
All India,Linseed,Aug 2018,4044.14
All India,Linseed,Sep 2018,3997.4
All India,Linseed,Oct 2018,3998.44
All India,Linseed,Nov 2018,4076.95
All India,Linseed,Dec 2018,4065.32
All India,Linseed,Jan 2019,4069.09
All India,Linseed,Feb 2019,4107.13
All India,Linseed,Mar 2019,4047.71
All India,Linseed,Apr 2019,4155.09
All India,Linseed,May 2019,4494.72
All India,Linseed,Jun 2019,4416.16
All India,Linseed,Jul 2019,4460.25
All India,Linseed,Aug 2019,4584.95
All India,Linseed,Sep 2019,4484.88
All India,Linseed,Oct 2019,4587.52
All India,Linseed,Nov 2019,5031.24
All India,Linseed,Dec 2019,4984.68
All India,Linseed,Jan 2020,5116.11
All India,Linseed,Feb 2020,4723.33
All India,Linseed,Mar 2020,4336.91
All India,Linseed,Apr 2020,4508.9
All India,Linseed,May 2020,4358.41
All India,Linseed,Jun 2020,4370.31
All India,Linseed,Jul 2020,4787.86
All India,Linseed,Aug 2020,5117.42
All India,Linseed,Sep 2020,5065.08
All India,Linseed,Oct 2020,5131.59
All India,Linseed,Nov 2020,5064.12
All India,Linseed,Dec 2020,5093.54
All India,Linseed,Jan 2021,5090.88
All India,Linseed,Feb 2021,5187.37
All India,Linseed,Mar 2021,5690.34
All India,Linseed,Apr 2021,6582.46
All India,Linseed,May 2021,6289.91
All India,Linseed,Jun 2021,6523.34
All India,Linseed,Jul 2021,6915.67
All India,Linseed,Aug 2021,7286.1
All India,Linseed,Sep 2021,7827.35
